Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temperature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Perennial,Asclepias fruticosa,25,5,20,0.3,3,30000,60,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""Compost"",""Organic fertilizer""]",4,48,36,1,ascelpias fruticosa
Herbaceous plant,Gossypium herbaceum,25,5,20,0.3,3,3600,70,"[""loam"",""silt"",""clay""]","[""India"",""Pakistan"",""China""]","[""Summer"",""Monsoon""]",20,40,50,48,"[""NPK"",""compost""]",4,48,12,1,gossypium herbaceum
Flowering Plant,Gossypium arboreum,25,5,20,0.3,3,6000,60,"[""Sandy loam"",""Loamy sand"",""Silty clay loam""]","[""North India"",""Pakistan"",""China""]","[""Summer"",""Monsoon""]",30,45,20,48,"[""NPK fertilizer"",""Organic compost""]",4,60,24,0.5,gossypium arboreum
Annual,Bidens pilosa,25,5,20,0.3,4,6000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round in tropical regions"",""Spring to fall in subtropical regions""]",40,35,30,48,"[""Complete balanced fertilizer"",""Organic compost""]",4,36,24,0.5,bidens pilosa
Succulent,Kalanchoe beharensis,25,5,20,0.2,3,18000,60,"[""Sandy"",""Loamy"",""Well-drained""]","[""Tropical"",""Subtropical""]","[""Year-round""]",30,40,10,72,"[""Cactus fertilizer"",""Balanced NPK fertilizer""]",4,48,24,0.25,kalanchoe beharensis
Herb,Artemisia argyi,20,3,15,0.3,5,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Asia"",""North America"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,36,12,0.5,artemisia argyi
Herbaceous perennial,Artemisia vulgaris,18,4,15,0.3,2,30000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 20-20-20"",""Organic compost""]",4,60,12,0.5,artemisia vulgaris
Perennial Herb,Artemisia mexicana,22,3,20,0.4,2,18000,60,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Southwestern United States"",""Mexico"",""Central America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,36,24,0.2,artemisia mexicana
Perennial,Artemisia pontica,20,5,15,0.3,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Eastern Europe"",""Central Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""NPK fertilizer"",""Organic compost""]",4,48,24,0.5,artemisia pontica
Perennial Flower,Symphytum grandiflorum,20,5,15,0.4,3,600,60,"[""Loam"",""Clay"",""Silt""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,symphytum grandiflorum
Herb,Calamintha nepeta,20,5,18,0.3,3,6000,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.25,calamintha nepeta
Perennial,Calamintha grandiflora,22,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,calamintha grandiflora
Perennial Herb,Calamintha Nepeta ssp. Nepeta,20,5,18,0.4,3,6000,60,"[""Loamy"",""Sandy""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""Compost"",""Organic liquid fertilizer""]",4,24,12,0.2,calamintha nepeta ssp. nepeta
Perennial,Pycnanthemum pilosum,25,5,18,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Eastern United States"",""Southern Canada""]","[""Late spring"",""Summer""]",40,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.25,pycnanthemum pilosum
Perennial,Anacyclus pyrethrum,20,5,15,0.2,3,20000,60,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]","[""Mediterranean region"",""North Africa"",""Southwest Asia""]","[""Spring"",""Summer"",""Autumn""]",25,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,12,12,0.4,anacyclus pyrethrum
Shrub,Bassia scoparia,25,5,20,0.3,4,300,60,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,40,20,48,"[""NPK"",""Organic fertilizers""]",4,60,36,1,bassia scoparia
Flowering Plant,Phacelia sp.,20,5,18,0.3,3,5000,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,0.5,phacelia sp.
Flowering Plant,Hyoscyamus aureus,20,5,18,0.3,4,3000,50,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,50,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,hyoscyamus aureus
Herb,Hyoscyamus niger,20,5,15,0.3,3,18000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,0.5,hyoscyamus niger
Herb,Hyoscyamus Alba,20,5,18,0.3,3,6000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,1,hyoscyamus alba
Deciduous Tree,Betula pendula,20,5,15,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Europe"",""Asia""]","[""Spring"",""Summer""]",50,35,20,48,"[""Nitrogen"",""Potassium""]",8,100,120,6,betula pendula
Fruit Tree,Pyrus communis,18,5,15,0.3,3,24000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",8,480,400,1,pyrus communis
Fruit,Solanum muricatum,20,5,18,0.3,4,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Central America"",""Andean region"",""Mediterranean region""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,48,36,0.5,solanum muricatum
Perennial,Muscari comosum,15,5,18,0.3,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Central Europe"",""Western Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,6,2,muscari comosum
Perennial,Poncirus Trifoliata,20,5,18,0.3,4,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Southern United States"",""Mediterranean region"",""East Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""NPK 10-10-10"",""Organic compost""]",4,120,36,2,poncirus trifoliata
Herbaceous perennial,Physalis alkekengi,10-30,2-5,15-25,0.2-0.4,4-6,3000-3500,40-60,"[""Well-drained"",""Loamy""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",30,35,50,48-72,"[""NPK fertilizer"",""Organic compost""]",4-6,36,12,0.25-0.5,physalis alkekengi
Shrub,Colutea arborescens,18,5,15,0.3,3,6000,50,"[""Well-drained"",""Sandy"",""Loamy""]","[""Mediterranean region"",""Central Asia"",""North America""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""All-purpose fertilizer"",""Organic compost""]",4,120,48,1,colutea arborescens
Tree,Paulownia Tomentosa,20,5,25,0.4,3,18000,60,"[""Well-drained"",""Loamy"",""Sandy""]","[""Temperate regions"",""Asia"",""North America""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,120,1,paulownia tomentosa
Shrub,Decaisnea Fargesii,18,10,15,0.3,5,3600,75,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mountainous areas""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,120,36,0.5,decaisnea fargesii
Grass,Digitaria sanguinalis ssp. sanguinalis,25,5,20,0.4,3,5000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",40,40,50,24,"[""NPK 12-12-12"",""Compost"",""Manure""]",4,24,36,0.5,digitaria sanguinalis ssp. sanguinalis
Shrub,Lycium chinense,25,5,20,0.25,3,6000,60,"[""Loamy"",""Sandy""]","[""Asia"",""North America"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK"",""Compost""]",4,72,36,0.5,lycium chinense
Shrub,Lycium spec.,18,5,20,0.3,3,6000,50,"[""Sandy loam"",""Loamy sand""]","[""Mediterranean region"",""Southwestern United States"",""Central Asia""]","[""Spring"",""Summer""]",40,40,50,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",8,72,72,1,lycium spec.
Herb,Trigonella foenum-graecum,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""South Asia"",""North Africa""]","[""Spring"",""Autumn""]",40,35,50,48,"[""NPK fertilizer"",""compost"",""manure""]",4,24,12,2,trigonella foenum-graecum
Legume,Vigna angularis,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam""]","[""Asia"",""Africa"",""South America""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK fertilizers"",""Compost""]",4,24,12,2,vigna angularis
Legume,Vigna unguiculata ssp. unguiculata,25,5,22,0.4,3,18000,60,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Rainy season""]",30,40,50,24,"[""NPK fertilizer"",""Compost""]",4,60,200,2,vigna unguiculata ssp. unguiculata
Vegetable,Phaseolus vulgaris var. nanus,20,5,18,0.3,2,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",2,20,12,2,phaseolus vulgaris var. nanus
Perennial,Dolichos Lablab,25,5,20,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,72,24,2,dolichos lablab
Legume,Vigna radiata,25,5,30,0.3,3,60000,70,"[""Sandy loam"",""Loamy soil""]","[""India"",""China"",""Thailand""]","[""Summer"",""Monsoon""]",20,40,50,24,"[""NPK fertilizers"",""Organic compost""]",2,36,12,2,vigna radiata
Vegetable,Vigna unguiculata ssp. sesquipedalis,25,5,20,0.3,4,3600,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",30,45,50,24,"[""NPK 10-10-10"",""Compost""]",4,120,36,2,vigna unguiculata ssp. sesquipedalis
Vegetable,Phaseolus vulgaris var. vulgaris,20,5,18,0.2,3,3600,50,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""North America"",""South America"",""Europe""]","[""Spring"",""Summer""]",30,40,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,2,phaseolus vulgaris var. vulgaris
Perennial,Phlomis Tuberosa,15-25,2-5,10-20,0.2-0.4,2-4,24000-28000,40-60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Temperate regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""All-purpose fertilizer"",""Slow-release granular fertilizer""]",4-6,36,24,0.5,phlomis tuberosa
Perennial shrub,Phlomis fruticosa,18,3,15,0.35,4,24000,50,"[""Well-drained soil"",""Sandy soil""]","[""Mediterranean region"",""Southwest United States"",""South Africa""]","[""Late spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,36,24,0.5,phlomis fruticosa
Perennial,Prunella grandiflora,20,5,15,0.4,3,600,60,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,12,12,0.25,prunella grandiflora
Mushroom,Stropharia rugosa-annulata,18,5,15,0.4,3,25000,70,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Fall""]",30,35,50,48,"[""Compost"",""Mushroom spawn"",""Straw""]",8,8,12,2,stropharia rugosa-annulata
Herbaceous Perennial,Scrophularia Ningpoensis,18,5,15,0.3,4,6000,60,"[""Well-drained loamy soil"",""Sandy soil"",""Clay soil""]","[""Full sun or partial shade"",""Moist and cool climate""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,24,0.25,scrophularia ningpoensis
Herbaceous perennial,Scrophularia nodosa,18,5,15,0.4,3,25000,70,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Woodlands""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,48,24,0.2,scrophularia nodosa
Vegetable,Brassica rapa ssp. oleifera,20,5,15,0.4,3,30000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Fall""]",30,35,50,48,"[""NPK 10-10-10"",""Compost""]",4,30,12,1,brassica rapa  ssp. oleifera
Vegetable,Brassica oleracea var. italica,20,5,15,0.3,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Fall""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,60,18,1,brassica oleracea var. italica
Shrub,Rubus sp.,15-25,5-10,12-18,0.2-0.4,4-6,18000-20000,50-70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4-6,48,36,1,rubus sp.
Herb,Trigonella caerulea,18.5,3.2,15.7,0.25,2.8,3600,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Mediterranean region"",""Southwest Asia"",""North Africa""]","[""Spring"",""Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4,16,12,2,trigonella caerulea
Aquatic plant,Nasturtium officinale,20,5,18,0.4,3,3600,70,"[""Silt"",""Clay""]","[""Ponds"",""Streams"",""Wetlands""]","[""Spring"",""Summer""]",20,30,20,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,12,24,0.2,nasturtium officinale
Annual,Fagopyrum sp.,10-25,2-5,10-20,0.2-0.4,2-4,2000-2500,40-60,"[""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Cool highlands""]","[""Spring"",""Summer""]",30,35,10,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24-36,12-18,1-2,fagopyrum sp.
Perennial,Bulbine frutescens,20.5,5.8,18.3,0.24,3.2,32000,65,"[""Sandy loam"",""Well-drained""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",40,38,40,48,"[""Slow-release granular fertilizer"",""Liquid seaweed fertilizer""]",8,20,12,0.5,bulbine frutescens
Tuber,Tuber aestivum var. unicatum,25,5,20,0.3,4,300,60,"[""sandy loam"",""clay loam"",""peaty"",""silty""]","[""Mediterranean region"",""North America"",""Europe""]","[""Start of summer"",""Late summer"",""Early autumn""]",30,40,30,48,"[""nitrogen-based"",""phosphorus-based"",""potassium-based""]",4,12,24,2,tuber aestivum var. unicatum
Evergreen shrub,Buxus sempervirens,15,5,12,0.2,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",8,120,36,0.5,buxus sempervirens
Perennial,Houttuynia cordata,20,10,18,0.3,5,3000,70,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Moist areas""]","[""Spring"",""Summer""]",30,35,50,48,"[""Organic compost"",""Balanced NPK fertilizer""]",4,24,12,0.5,houttuynia cordata
Fruit tree,Annona cherimola,20,5,18,0.4,3,28800,70,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer""]",35,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",8,240,144,0.5,annona cherimoia
Vegetable,Brassica rapa ssp. pekinensis,15-25,2-4,10-20,0.3-0.5,3-5,2000-2500,60-70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""United States"",""China"",""India""]","[""Spring"",""Fall""]",30,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,12-18,12-18,0.5-1,brassica rapa ssp. pekinensis
Vegetable,Brassica juncea,20,5,18,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,brassica juncea
Grass,Miscanthus sacchariflorus,10-25,5-15,15-20,0.2-0.3,5-10,18000-22000,50-70,"[""Loamy"",""Sandy"",""Clayey""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer""]",20,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,96,36,2,miscanthus sacchariflorus
Flowering plant,Orychophragmus violaceus,20,5,18,0.3,3,6000,65,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,30,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,orychophragmus violaceus
Weed,Abutilon Theophrasti,20,5,15,0.3,3,6000,70,"[""Loam"",""Clay"",""Silt""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",30,40,20,48,"[""NPK"",""Compost""]",4,60,24,0.5,abutilon theophrasti
Tree,Toona Sinensis,20-30,5-10,15-25,0.2-0.3,4-6,2400-2800,60-80,"[""Well-drained soil"",""Loamy soil""]","[""Asia"",""Australia"",""Europe""]","[""Spring"",""Summer""]",40-60,35-40,50-100,48-72,"[""Organic Compost"",""NPK Fertilizer""]",6-8,120-180,120-150,0.5-1,toona sinensis
Flowering Plant,Jasminum grandiflorum,25,5,20,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Tropical"",""Subtropical""]","[""Spring"",""Summer""]",20,35,20,48,"[""NPK"",""Organic compost""]",4,120,36,0.5,jasminum grandiflorum
Perennial,Artemisia Apiacea,18,5,15,0.25,3,24000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Mediterranean region"",""Central Asia"",""North America""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,0.5,artemisia apiacea
Flowering Plant,Chrysanthemum x grandiflorum,15-25,2-4,12-18,0.2-0.3,3-5,24000-28000,50-70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",20-40,30-35,10-20,48-72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24-36,12-18,0.5-1,chrysanthemum x grandiflorum
Flowering plant,Chrysanthemum indicum,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,36,12,0.5,chrysanthemum indicum
Flowering Plant,"Chrysantheme, Winteraster",20,5,15,0.5,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK"",""Organic compost""]",4,36,24,1,"chrysantheme, winteraster"
Perennial,Caryopteris x clandonensis,18.5,4.2,15.2,0.25,3.8,22400,55,"[""Sandy loam"",""Loamy sand""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",30,35,15,48,"[""10-10-10"",""14-14-14""]",4,36,24,0.5,caryopteris x clandonensis
Herb,Symphytum Officinale,15,5,12,0.3,4,3600,60,"[""Loam"",""Clay"",""Silt""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Fish emulsion""]",4,36,24,0.5,symphytum officinale
Perennial,Symphytum caucasicum,10-25,5-10,10-20,0.2-0.4,2-4,18000-22000,40-70,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,24-48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4-6,24,12,0.5,symphytum caucasicum
Perennial,Symphytum x uplandicum,15,5,12,0.3,4,18000,70,"[""Loam"",""Clay"",""Silt""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,36,24,0.5,symphytum x uplandicum
Pepper,C. baccatum var. pendulum,25,5,20,0.4,3,3600,70,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""South America"",""Mexico"",""India""]","[""Start of summer"",""Monsoon"",""Autumn""]",35,40,20,24,"[""NPK 20-20-20"",""Organic compost""]",2,36,12,0.5,c.baccatum var.pendulum
Perennial,Helichrysum stoechas,15 - 25,5 - 10,15 - 20,0.2 - 0.3,3 - 5,6 - 8,40 - 60,"[""Sandy loam"",""Loamy sand"",""Silt loam""]","[""Mediterranean region"",""Coastal areas""]","[""Late spring"",""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4 - 6,12 - 24,12 - 15,0.2 - 0.4,helichrysum stoechas
Flowering Plant,Dahlia Pinnata,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean"",""Southwestern United States"",""South America""]","[""Spring"",""Summer"",""Fall""]",40,35,50,48,"[""10-10-10 NPK fertilizer"",""Bone meal"",""Compost""]",4,36,24,2,dahlia pinnata
Herb,Turnera diffusa,25-30,5-10,20-25,0.2-0.3,2-4,18000-20000,60-80,"[""Loamy"",""Sandy"",""Well-drained""]","[""South America"",""Mexico"",""Caribbean""]","[""Spring"",""Summer""]",20-30,35,50,24-48,"[""NPK fertilizers"",""Organic compost""]",4-6,24-36,12-18,1-2,turnera diffusa
Perennial,Dictamnus albus,15,5,12,0.4,2,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""Asia""]","[""Late Spring"",""Early Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.2,dictamnus albus
Perennial,Jovibarba hirta,15,5,12,0.3,3,30000,60,"[""Well-drained sandy loam"",""Sandy soil"",""Loamy soil""]","[""Rock gardens"",""Alpine gardens"",""Xeriscapes""]","[""Spring"",""Summer"",""Fall""]",40,35,20,72,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4,6,12,0.2,jovibarba hirta
Tree,Dracaena Draco,20,5,18,0.3,3,6000,70,"[""Loamy"",""Sandy""]","[""Canary Islands"",""Morocco"",""Portugal""]","[""Spring"",""Summer""]",40,35,20,72,"[""NPK 20-20-20"",""Organic Compost""]",8,360,500,4,dracaena draco
Flowering plant,Lallemantia iberica,20,3,15,0.3,2,6000,60,"[""Sandy loam"",""Clay loam"",""Silty loam""]","[""Mediterranean region"",""Middle East"",""Caucasus""]","[""Spring"",""Summer""]",40,35,10,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,24,12,0.5,lallemantia iberica
Fruit,Asimina triloba,25,5,18,0.4,3,3600,70,"[""Loamy"",""Sandy"",""Clay""]","[""Eastern United States"",""Southern Canada""]","[""Spring"",""Summer""]",40,35,20,48,"[""Compost"",""Organic fertilizer""]",4,240,100,2,asimina triloba
Perennial shrub,Lycianthes glandulosa,20,5,18,0.4,3,600,60,"[""Well-drained sandy soil"",""Loamy soil""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",6,48,24,0.5,lycianthes glandulosa
Perennial,Agastache pallidiflora subsp. neomexicana,22,3,18,0.4,4,36000,50,"[""Sandy loam"",""Loam""]","[""Southwestern United States"",""Northern Mexico""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,48,"[""Organic compost"",""Slow-release granules""]",8,36,24,0.5,agastache pallidiflora subsp. neomexicana
Perennial,Artemisia camphorata,25°C,5 mm,20°C,0.3 m³/m³,4 mm/day,600 seconds,60%,"[""Loamy"",""Sandy"",""Well-drained""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40 km/h,35°C,20 mm,48 hours,"[""Organic compost"",""Slow-release fertilizer""]",6 weeks,36 in,24 in,1 in,artemisia camphorata
Climbing vine,Hedera helix,10,5,12,0.4,3,18000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Temperate regions"",""Woodlands"",""Coastal areas""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,72,"[""Organic compost"",""Slow-release granular fertilizer""]",4,360,144,0.5,hedera helix
Perennial Herb,Veronica officinalis,18,5,15,0.35,4,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.25,veronica officinalis
Flowering Plant,Pseudolysimachion orchideum,18 °C,5 mm,15 °C,0.4 m³/m³,2 mm/day,3600 seconds,60%,"[""Loam"",""Sandy loam""]","[""Europe"",""Asia""]","[""Late Spring"",""Summer""]",40 km/h,30 °C,20 mm,48 hours,"[""NPK fertilizer"",""Organic compost""]",4 weeks,24 in,12 in,0.5 in,pseudolysimachion orchideum
Perennial,Althaea Frutex,20,5,18,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,60,12,1,althaea frutex
Deciduous Tree,Quercus sp.,25,5,20,0.3,2,3600,60,"[""Loamy"",""Sandy"",""Clayey""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Fall""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",12,120,300,6,quercus sp.
