,Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
190,Perennial,Rävsvans,20,5,15,0.3,4,18000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,36,24,0.5,rävsvans
191,Vegetable,Rödbeta 26,20,5,15,0.25,3,3600,60,"[""loamy"",""sandy loam"",""clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,24,"[""NPK 10-10-10"",""Compost"",""Manure""]",4,20,12,1,"rödbeta 26,"
192,Flowering plant,Rödfibbla,20,5,18,0.3,4,60000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,rödfibbla
193,Flowering plant,Rödklint,15,5,12,0.2,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,24,12,0.5,rödklint
194,Perennial,Rödklöver,15,3,12,0.25,2,3600,70,"[""Loamy"",""Sandy""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,30,12,0.5,rödklöver
195,Shrub,Rödkvanne,18,5,15,0.35,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic states""]","[""Late spring"",""Summer"",""Early autumn""]",30,30,20,48,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,40,36,1,rödkvanne
196,Flowering Plant,Rödmalva,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,48,24,0.5,rödmalva
197,Flowering perennial,Röd nejlikrot,20,5,18,0.4,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""East Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,röd nejlikrot
198,Perennial vine,Röd Trolldruva,25,5,20,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",8,120,36,2,röd trolldruva
199,Herbaceous perennial,Achillea millefolium,20,5,15,0.3,4,18000,60,"[""Well-drained"",""Sandy"",""Loamy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Compost"",""Organic liquid fertilizer""]",4,24,12,0.25,röllika
200,Flower,Safflower,18,2,20,0.25,3,24000,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Central Asia"",""North America""]","[""Spring"",""Summer""]",30,40,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,30,2,safflor
201,Vegetable,Salladsgurka,20,5,15,0.4,3,3600,70,"[""Loamy"",""Sandy""]","[""Scandinavia"",""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",30,35,10,24,"[""NPK fertilizer"",""Organic compost""]",2,12,12,1,salladsgurka
202,Leafy vegetable,Salladskål,15,5,10,0.3,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""New Zealand""]","[""Spring"",""Fall""]",30,30,20,24,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,12,12,0.5,salladskål
203,Leafy vegetable,Sallat,15-25,2-3,10-20,0.3-0.5,4-6,6000-8000,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Northern Europe"",""North America""]","[""Spring"",""Autumn""]",20,30,50,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,8,12,0.5,sallat
204,Herbaceous perennial,Taraxacum officinale,10-25,2-5,10-20,0.2-0.3,2-4,18000-22000,40-70,"[""Loamy"",""Sandy"",""Clayey""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,16,10,0.25,sallatsmaskros
205,Annual Flower,Sammetstagetes,25,5,20,0.3,4,600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Sunflower Valley"",""Gardenia Plains"",""Marigold Fields""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,18,12,0.5,sammetstagetes
206,Perennial,Sandlök,20,5,18,0.2,3,6000,60,"[""Sandy"",""Loamy"",""Well-drained""]","[""Coastal regions"",""Desert regions""]","[""Spring"",""Summer""]",30,40,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,24,2,sandlök
207,Annual,Sandsenap,20 °C,5 mm,18 °C,0.3 m³/m³,3 mm/day,8 hours,60%,"[""Sandy loam"",""Loamy sand"",""Silt loam""]","[""Coastal regions"",""Desert regions""]","[""Summer""]",40 km/h,35 °C,10 mm,24,"[""NPK fertilizer"",""Organic compost""]",4,12 in,12 in,1 in,sandsenap
208,Vegetable,Sarepta Mustard,20,5,18,0.3,4,600,60,"[""Loamy"",""Sandy""]","[""Temperate climates"",""Mediterranean regions""]","[""Spring"",""Fall""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",2,24,12,1,sareptasenap
209,Leafy Vegetable,Senapskål,15,5,10,0.4,3,32000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Scandinavia"",""Northern Europe""]","[""Spring"",""Autumn""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Organic compost""]",4,16,12,0.2,senapskål
210,Perennial Flower,Sibirisk Nunneört,10,3,12,0.4,2,24000,70,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""Siberia"",""Northeast China""]","[""Late Spring"",""Summer""]",40,30,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",6,24,12,0.2,sibirisk nunneört
211,Perennial,Sibirisk pion,15,5,10,0.4,3,6000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,36,36,2,sibirisk pion
212,Shrub,Sibirisk ärtbuske,15,5,18,0.3,2,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Organic compost""]",4,60,36,2,sibirisk ärtbuske
213,Ornamental Plant,Silverbuske,23,5,18,0.3,4,24000,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,silverbuske
214,Perennial Flower,Silvrig Höstanemon,15,5,12,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Summer"",""Autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,silvrig höstanemon
215,Perennial,Skelört,15.6,2.5,18.2,0.25,3.7,24000,65,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Early Spring"",""Late Spring"",""Early Summer""]",40,35,20,72,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,12,12,0.2,skelört
216,Flowering Plant,Skogsförgätmigej,15,5,12,0.5,3,18000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""Scandinavia"",""Boreal forests""]","[""Late Spring"",""Summer""]",40,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,10,12,0.5,skogsförgätmigej
217,Flowering plant,Skogsklocka,20,5,15,0.4,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer""]",30,35,10,48,"[""Nitrogen-based"",""Phosphorus-based""]",4,24,12,1,skogsklocka
218,Flowering Plant,Skogslyst,20,5,18,0.3,2,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,30,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,1,skogslyst
219,Perennial,Skogslök,12,4,10,0.2,2,3600,70,"[""Loamy soil"",""Sandy soil""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",50,30,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,16,12,1,skogslök
220,Perennial Herb,Skogsnäva,17.5,4.5,15.8,0.25,2.3,43200,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,32,50,48,"[""Organic compost"",""Liquid seaweed fertilizer"",""Slow-release granular fertilizer""]",8,12,12,0.4,skogsnäva
221,Perennial,Skogspipa,15,5,12,0.3,3,24000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate forests"",""Mountainous regions""]","[""Spring""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.5,skogspipa
222,Flowering Plant,Skogsvial,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy Loam""]","[""Temperate regions"",""Woodlands""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Slow-release fertilizer""]",4,36,24,0.5,skogsvial
223,Flowering Plant,Skogsvicker,15,5,18,0.3,6,3600,60,"[""Loamy"",""Sandy""]","[""Northern Europe"",""Scandinavia""]","[""Late Spring"",""Summer""]",30,30,20,48,"[""NPK fertilizer"",""Organic compost""]",4,20,12,1,skogsvicker
224,Flowering plant,Skomakariris,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,30,24,"[""Organic compost"",""NPK fertilizers""]",4,36,12,0.5,skomakariris
225,Perennial,Skuggviolruta,18,5,15,0.4,3,24000,60,"[""Loamy"",""Sandy""]","[""Shaded Gardens"",""Woodland Areas""]","[""Spring"",""Early Summer""]",30,28,20,48,"[""Organic Compost"",""Slow Release Granular Fertilizer""]",8,15,12,0.2,skuggviolruta
226,Herb,Slätpersilja,15,2,12,0.3,4,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Scandinavia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,30,10,48,"[""Nitrogen-based"",""Potassium-based""]",4,24,12,0.2,slätpersilja
227,Perennial,Smultron,18,3,15,0.3,2,3600,60,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,6,12,0.2,smultron
228,Herbaceous perennial,Småborre,25,5,18,0.3,3,6000,70,"[""Sandy loam"",""Clay loam"",""Loamy sand""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",30,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,1,småborre
229,Perennial,Smällspirea,18,5,15,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",40,35,20,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,24,12,1,smällspirea
230,Flower,Smörblomma,20,5,18,0.4,3,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4,12,6,0.5,smörblomma
231,Flower,Smörbollar,20,5,18,0.3,4,600,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,6,0.5,smörbollar
232,Vegetable,Smörgåskrasse,18,5,15,0.3,4,3600,70,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Scandinavia"",""Northern Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,6,0.5,smörgåskrasse
233,Vegetable,Sockerrot,20,5,15,0.3,3,3600,60,"[""Sandy loam"",""Loam""]","[""Mediterranean regions"",""Temperate regions""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,12,6,2,sockerrot
234,Leafy vegetable,Sockertopskål,18,2,15,0.25,5,600,70,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Fall""]",40,30,10,48,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4,12,12,0.5,sockertopskål
235,Legume,"Sockerärt 30, 38",18.5,3.2,15.2,0.25,4.8,3600,65,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Northern Europe"",""United States"",""Canada""]","[""Spring"",""Summer""]",40,35,15,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,"sockerärt 30, 38,"
236,Legume,Sojaböna,20,4,18,0.3,2,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""South America"",""Asia""]","[""Spring"",""Summer""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,48,12,1,sojaböna
237,Vegetable,Sommarpumpa,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""California"",""Southern Europe""]","[""Summer"",""Late spring""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,24,36,2,sommarpumpa
238,Flowering Plant,Sommarrudbeckia,25°C,5mm,20°C,0.3m³/m³,3mm/day,10 seconds,50%,"[""Loam"",""Sandy loam"",""Clay""]","[""Full sun"",""Well-drained soil""]","[""Late spring"",""Summer"",""Early fall""]",30km/h,35°C,50mm,Every 2 days,"[""NPK 10-10-10"",""Compost""]",Every 4 weeks,24in,12in,0.5in,sommarrudbeckia
239,Herb,Spansk Körvel,18,5,15,0.3,3,3600,70,"[""Loam"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,12,12,0.5,spansk körvel
240,Vegetable,Sparris,18,2,15,0.4,3,3600,60,"[""Sandy loam"",""Loamy sand""]","[""Mediterranean region"",""California"",""Southwest United States""]","[""Late spring"",""Summer"",""Early fall""]",30,35,10,72,"[""Nitrogen-based fertilizers"",""Compost"",""Bone meal""]",2,60,12,2,sparris
241,Leafy vegetable,Sparriskål,15,5,12,0.3,4,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""North America""]","[""Spring"",""Early summer""]",30,30,15,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",2,20,12,1,sparriskål
242,Cereal Crop,Spelt Wheat,10-15°C,2-3 mm,8-12°C,20-30 m³/m³,4-5 mm/day,6-8 hours,50-60%,"[""Loam"",""Silt"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",50 km/h,35-40°C,50-100 mm,Every 2-3 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6 weeks,40-60 in,12-18 in,2-4 in,speltvete
243,Leafy green vegetable,Spenat,20,5,15,0.3,2,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Fall""]",40,30,20,48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4,12,12,0.5,spenat
244,Leafy vegetable,Spenatskräppa,15,5,12,0.3,4,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""North America""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Organic compost""]",2,15,12,0.5,spenatskräppa
245,Perennial,Spikklubba,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""All year round"",""Start of summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,36,12,2,spikklubba
246,Flowering Plant,Spjutkakalia,25°C,5mm,20°C,0.4 m³/m³,3mm/day,8 hours,60%,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30 km/h,35°C,10mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",4 weeks,24 inches,12 inches,1 inch,spjutkakalia
247,Perennial,Spånandslin,18,5,15,0.3,2,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,spånandslin
248,Perennial Flower,Stjärnflocka,18,5,15,0.3,4,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",25,30,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,24,12,0.5,stjärnflocka
249,Bulbous perennial,Stjärnlök,15,3,12,0.25,2,6000,50,"[""Well-drained soil"",""Loamy soil""]","[""Northern Europe"",""North America""]","[""Spring""]",40,30,10,48,"[""Organic compost"",""Slow-release fertilizer""]",4,12,6,2,stjärnlök
250,Flowering Plant,Stjärnvinda,20,5,18,0.3,3,600,70,"[""Loam"",""Sandy loam"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,0.5,stjärnvinda
251,Perennial Flowering Plant,Stockros,15,5,18,0.3,3,6000,70,"[""Loam"",""Sandy Loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,72,36,0.25,stockros
252,Perennial,Storblommig fingerört,15,5,10,0.3,3,12000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,storblommig fingerört
253,Perennial,Campanula persicifolia,20,5,15,0.3,4,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Start of summer"",""Spring"",""Early Fall""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,30,12,0.2,stor blåklocka
254,Perennial,Stor Gullstav,25,5,18,0.3,3,600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Northern Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,stor gullstav
255,Perennial,Stor Hässleklocka,12,4,10,0.25,2,18000,60,"[""Loam"",""Clay""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,18,0.5,stor hässleklocka
256,Perennial herb,Stor kardborre,10-25,2-5,10-20,0.3-0.5,3-5,2000-2500,40-60,"[""Well-drained soil"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",20-30,30-35,10-20,48-72,"[""Organic compost"",""All-purpose liquid fertilizer""]",4-6,36-48,12-18,0.25-0.5,stor kardborre
257,Herb,Stor Kustruta,18,5,15,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""NPK"",""Compost"",""Organic fertilizer""]",4,24,12,0.5,stor kustruta
258,Perennial,Stormhatt,15,5,12,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,20,72,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,60,24,1,stormhatt
259,Perennial,Stor Nunneört,10 - 20,2 - 4,8 - 15,0.2 - 0.4,2 - 4,4 - 6,60 - 80,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,50,24,"[""Compost"",""Organic Fertilizer""]",4 - 6,12,12,0.5,stor nunneört
260,Flowering Plant,Storrams,25,5,20,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",20,35,15,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,storrams
261,Flowering plant,Stor rödmalva,20,5,15,0.3,3,3000,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Northern Europe"",""North America""]","[""Summer"",""Autumn""]",30,35,20,24,"[""Organic compost"",""NPK fertilizer""]",4,36,24,0.5,stor rödmalva
262,Perennial,Lilium martagon,18,5,15,0.25,3,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,16,2,stor sandlilja
263,Climbing Vine,Stor Styvklematis,20,5,18,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,30,48,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4,120,24,1,stor styvklematis
264,Flower,Stor Tagetes,20,5,18,0.4,3,3000,60,"[""Loam"",""Sandy""]","[""Temperate"",""Subtropical""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,stor tagetes
265,Flowering Plant,Stor Vaxblomma,18.5,6.7,20.2,0.35,3.2,24000,65,"[""Loam"",""Sandy Loam""]","[""Northern Hemisphere"",""Temperate Regions""]","[""Spring"",""Summer""]",35,30,20,48,"[""NPK Fertilizer"",""Organic Compost""]",4,36,24,0.5,stor vaxblomma
266,Flowering Plant,Strandiris,25,10,20,0.3,5,30000,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",30,40,50,48,"[""NPK"",""Compost""]",4,36,24,2,strandiris
267,Leafy vegetable,Strandkål,12,5,10,0.4,2,20000,70,"[""Sandy loam"",""Loamy sand"",""Silty loam""]","[""Coastal regions"",""Northern Europe""]","[""Spring"",""Summer"",""Autumn""]",30,25,15,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,12,1,strandkål
268,Perennial Herb,Strandloka,15-25,5-10,15-20,0.2-0.4,3-5,6-8,50-70,"[""Sandy Loam"",""Silt Loam"",""Clay Loam""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4-6,24,12,0.5,strandloka
269,Flowering plant,Strandlysing,25,5,20,0.3,3,3600,70,"[""loam"",""sandy loam""]","[""tropical regions"",""subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer""]",4,24,12,2,strandlysing
270,Flowering Perennial,Strandveronika,22 °C,5 mm,18 °C,0.3 m³/m³,4 mm/day,10 seconds,70%,"[""Loam"",""Sandy Loam"",""Clay""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Fall""]",30 km/h,35 °C,20 mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer"",""Liquid fertilizer""]",4 weeks,18 in,12 in,0.5 in,strandveronika
271,Flowering plant,Strålöga,18-25,5-10,15-20,0.2-0.4,2-4,2400-2800,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,20,48,"[""All-purpose fertilizer"",""Organic compost""]",4-6,24,12,0.5,strålöga
272,Perennial,Styvklematis,15,5,18,0.25,3,30000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,120,24,0.5,styvklematis
273,Flower,Styvmorsviol,18,5,15,0.4,3,6000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,8,0.2,styvmorsviol
274,Perennial,Stäppsalvia,20,5,18,0.3,3,600,50,"[""Sandy loam"",""Loam""]","[""Mediterranean regions"",""Central Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,stäppsalvia
275,Flowering plant,Svartsenap,20,5,18,0.4,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Coastal areas""]","[""Spring"",""Summer""]",30,35,15,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,24,12,0.5,svartsenap
276,Flowering Plant,Svavelpion,20-25,5-10,15-20,0.3-0.5,4-6,8-10,40-60,"[""Loam"",""Sandy"",""Clay""]","[""Sunny"",""Well-drained soil"",""Moderate rainfall""]","[""Spring"",""Summer""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",4-6,24,12,1,svavelpion
277,Vegetable,Stångböna,20,5,18,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Central Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4,72,24,2,stångböna
278,Flowering plant,Svartnysört,20,5,15,0.3,3,5000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America""]","[""Late spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,svartnysört
279,Flowering Plant,Svartöga,20 °C,5 mm,18 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean regions"",""Temperate regions""]","[""Spring"",""Summer""]",40 km/h,35 °C,20 mm,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24 in,12 in,2 in,svartöga
280,Perennial,Svärdslilja,20,5,18,0.3,3,12000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,36,12,1,svärdslilja
