,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Sunshine Duration,Humidity(%),Rainfall Alert Maximum Rain (mm)
834,18,5,15,3600,60,20
835,18.5,2.3,15.2,23400,65,20
836,15,5,18,600,60,20
837,18,5,15,30000,60,20
838,18,5,16,24000,60,20
839,25,5,20,18000,60,20
840,18,5,20,3600,70,15
841,25,5,20,600,70,20
842,20 °C,5 mm,15 °C,600 seconds,60%,20 mm
843,20,5,15,6000,60,20
844,10-25,5-10,15-20,18000-22000,50-70,20
845,20,5,15,6000,60,20
846,18,5,15,3000,60,20
847,20,5,15,12000,50,20
848,25,5,20,6000,70,20
849,22,5,18,12000,60,20
850,15-25,3-5,10-15,18000-20000,60-80,30-50
851,10,5,8,18000,70,20
852,18,5,15,24000,70,20
853,20,5,15,3600,60,20
854,20,5,15,6000,60,20
855,20,5,18,6000,70,20
856,20,5,15,3600,70,20
857,15-25,5-10,10-20,4-6,40-60,20
858,15,5,12,24000,70,20
859,15,4,12,3000,60,20
860,20,5,18,3600,70,20
861,20,5,15,6000,60,20
862,20-25,5-10,15-20,18000-20000,60-70,50
863,15,5,10,3600,60,20
864,10,3,8,30000,60,10
865,20,5,18,18000,70,20
866,22,5,18,6000,55,15
867,25,5,20,3600,60,30
868,20 °C,5 mm,18 °C,300 seconds,60%,50 mm
869,20,5,15,3600,50,15
870,10,3,12,3000,50,20
871,7,3,8,18000,70,15
872,18,5,15,24000,60,20
873,25,5,20,3000,60,20
874,18,5,15,3600,60,20
875,20,5,18,6000,70,20
876,20,5,18,3600,50,20
877,20,5,18,6000,60,20
878,25,10,18,6000,60,50
879,20,5,15,3600,50,20
880,25 °C,5 mm,20 °C,10 seconds,60%,50 mm
881,15,5,18,3600,60,50
882,25,5,20,3000,60,20
883,25,10,20,30000,60,50
884,20,5,18,30000,60,10
885,25,5,20,6000,60,20
886,22,5,18,6000,70,20
887,18,5,15,24000,70,20
888,20,5,15,3600,70,20
889,18,5,15,6000,70,20
890,25,5,20,10000,60,20
891,20,5,18,18000,60,20
892,25,5,20,3600,60,20
893,15,5,12,18000,70,20
894,18.5,5.2,16.8,23500,65,15
895,25,5,20,6000,60,20
896,25,5,18,3600,70,20
897,20,5,18,7200,60,50
898,15,5,12,18000,70,20
899,20,5,18,6000,70,10
900,15-20,2-4,10-15,2000-2500,40-60,10
901,20,5,18,3000,60,20
902,20,5,18,6000,70,20
903,25,5,20,3600,70,20
904,20,5,18,3600,60,20
905,20,10,15,300,60,50
906,22,5,18,6000,60,20
907,20,5,15,6000,60,20
908,20,5,15,600,70,20
909,22,5,18,6000,60,20
910,15,5,12,3600,60,50
911,25,5,20,3000,50,20
912,15,5,12,24000,60,20
913,20,5,18,3600,60,50
914,20,5,15,3600,60,15
915,15,5,10,5000,60,20
916,10°C,3 mm,8°C,6 hours,60%,10 mm
917,20,5,15,3000,60,30
918,15,5,12,6000,60,20
919,15,2,10,5000,60,10
920,25,5,22,600,60,50
921,25,5,20,6000,70,20
922,25,5,18,3600,70,20
923,18.5,3.2,15.2,24000,70,50
924,20,5,18,3600,70,20
925,24,5,18,600,60,20
926,20,5,15,3600,50,20
927,15,5,12,3600,50,50
928,20,5,15,6000,60,20
929,15,5,12,3000,60,20
930,15 - 25,5 - 10,10 - 15,18000 - 22000,40 - 60,20
931,20,5,15,18000,60,50
932,15,5,12,18000,70,50
933,10,5,12,18000,65,20
934,15,5,12,3600,60,20
935,20,5,15,3600,60,20
936,20,5,18,18000,60,20
937,15,5,18,600,65,30
938,10,5,15,18000,60,20
939,20,5,15,3600,60,20
940,20,5,18,600,70,20
941,10-20,5-10,8-15,1200-1600,40-70,20
942,18,5,15,28800,70,20
943,12.5 °C,5 mm,10 °C,300 seconds,60%,20 mm
944,18,5,15,6000,60,50
945,25,5,20,12000,60,50
946,25,10,20,18000,60,50
947,18,5,15,28000,60,20
948,20,5,18,5000,60,20
949,20,5,18,6000,60,10
950,20 °C,5 mm,18 °C,600 seconds,50%,30 mm
951,25,5,20,3600,60,20
952,25,5,20,6000,70,20
953,25,5,20,6000,70,20
954,20.5,5,18.2,300,60,15
955,18,5,15,600,60,20
956,20,5,15,600,70,20
957,20,5,18,600,70,15
958,18,5,15,5000,60,10
959,15-25,2-5,10-15,1200-1500,50-70,20
960,15,5,10,3600,70,20
961,20,5,18,3600,60,15
962,18,5,15,6000,70,15
963,15,5,12,6000,60,10
964,15,5,12,18000,60,20
965,20,5,18,3600,60,20
966,20,5,15,6000,60,20
967,20,5,15,3600,60,20
968,10,5,12,3600,70,20
969,20,5,18,6000,60,20
970,20,5,18,6000,60,20
971,24,5,18,30000,60,20
972,25,5,20,6000,60,20
973,25,5,20,3600,60,20
974,20,5,15,25000,60,30
975,18,5,15,300,60,20
976,25,5,20,6000,70,10
977,18-24,3-5,15-20,6000-7000,40-60,20
978,20,5,15,18000,60,20
979,25,5,20,600,60,50
980,25,10,20,6000,70,50
981,15,5,10,6000,70,20
982,18,5,15,18000,60,20
983,15,5,20,3600,50,20
984,18,5,15,600,60,20
985,14,3,12,18000,60,10
986,15,5,10,18000,60,20
987,15 °C,5 mm,18 °C,3600 seconds,60%,20 mm
988,15,5,18,3600,60,20
989,18,5,15,60000,70,10
990,25,2,20,6000,50,20
991,20,5,15,12000,60,20
992,20,5,18,600,60,30
993,20,5,18,12000,60,20
994,20-25,10-20,15-20,2400-2600,40-60,50-60
995,25,10,20,300,60,50
996,25,5,20,300,70,20
997,15,5,18,6000,70,20
998,20,2,15,3000,60,10
999,15,5,12,6000,50,20
1000,15.5,3.4,14.2,23000,65,50
1001,22,5,18,6000,70,20
1002,20,5,15,3600,70,15
1003,15,5,18,6000,60,20
1004,15,5,12,3600,70,50
1005,22,5,18,3600,60,50
1006,20,5,18,6000,60,20
1007,15-25,2-4,15-20,2400-2800,40-60,10
1008,-5,5,4,600,80,20
1009,25,10,20,6000,70,50
0,20,5,18,3600,50,20
1,20,5,18,18000,60,20
2,20,5,15,600,60,20
3,20,5,18,18000,60,20
4,18,2,15,6000,60,10
5,18.5°C,5.7 mm,15.2°C,4200 seconds,65%,20 mm
6,28,10,25,3600,60,50
7,20,5,15,3600,60,20
8,10-25,5-10,15-20,5-8,50-70,20
9,20,5,18,20000,60,20
10,20,5,18,6000,60,50
11,15,5,10,18000,65,20
12,10,5,15,18000,70,20
13,22,2,25,18000,60,10
14,25,10,20,12000,70,50
15,18,3,15,6000,70,20
16,18.5,5.2,15.2,3600,75,20
17,12.5 °C,3.2 mm,11.8 °C,"5,400 seconds",65%,50 mm
18,20,5,18,600,50,20
19,15,5,10,3600,60,20
20,20,5,15,18000,50,20
21,18,2,15,24000,60,10
22,25,5,20,3600,50,20
23,22,5,18,7200,60,20
24,20,5,18,3600,60,20
25,20,10,18,6000,70,50
26,25,5,20,6000,60,20
27,10-25,5-20,10-20,18000-22000,60-80,50
28,15,5,10,6000,70,20
29,12.5,3.5,10.2,3000,60,20
30,20,5,18,6000,60,20
31,20 °C,5 mm,18 °C,3600 seconds,50%,10 mm
32,25,10,20,6000,60,20
33,18,5,15,24000,60,20
34,20,5,15,6000,60,20
35,20,5,18,6000,50,20
36,20,5,18,6000,60,20
37,15-25,1-3,10-20,2400-2800,40-60,50-100
38,20,5,18,24000,60,10
39,20,5,15,18000,60,15
40,20,5,18,3600,60,20
41,15,5,12,600,60,20
42,15,5,12,6000,60,20
43,18,5,15,3600,50,20
44,18,5,15,600,60,20
45,18,5,15,30000,60,10
46,25.6,4.7,20.3,32400,70,50
47,25,5,22,18000,50,20
48,18,3,15,3600,70,10
49,25,5,20,6000,60,15
50,18,5,15,600,65,20
51,18,5,15,24000,60,20
52,10-25,5-15,10-20,4-8,40-70,20-30
53,18,10,15,18000,70,50
54,15,3,12,3600,60,10
55,20,5,18,30000,60,50
56,15-25,5-10,15-20,3600-4000,50-70,30
57,15,5,18,24000,70,20
58,20,5,15,3000,60,50
59,20,5,18,6000,60,15
60,25,5,20,6000,70,20
61,18,5,15,3600,60,20
62,18,5,15,6000,60,20
63,18,5,15,6000,50,20
64,18,5,15,6000,60,20
65,18,5,15,3600,50,20
66,20,5,18,3600,60,20
67,20,5,15,18000,60,20
68,20,5,18,3000,70,20
69,10,5,12,30000,70,20
70,25,5,20,6000,60,50
71,20,5,18,6000,60,20
72,15 °C,5 mm,10 °C,5000 seconds,70%,20 mm
73,10-25,2-5,12-20,4-6,50-70,20
74,20,5,15,6000,50,10
75,18,5,15,18000,60,20
76,20,5,15,6000,60,10
77,18°C,5mm,20°C,6 hours,50%,20mm
78,20,5,18,18000,70,10
79,20,5,15,24000,50,20
80,26,5,25,30000,60,50
81,25 °C,5 mm,20 °C,8 hours,60%,50 mm
82,20,5,18,30000,60,20
83,20,5,18,6000,50,20
84,20,5,15,600,60,20
85,25,5,20,600,70,20
86,20,3,18,6000,60,10
87,20,5,15,3600,70,20
88,18,5,15,6000,70,20
89,15,5,10,3600,70,10
90,20,5,18,300,60,30
91,15-25,2-5,10-20,6-8,40-60,10
92,15 - 25,10 - 20,10 - 15,3000 - 3500,40 - 60,50
93,20,5,18,12000,60,50
94,12,2,10,25000,70,30
95,15,5,12,3600,60,20
96,10,3,12,5000,70,20
97,18,5,20,7200,60,20
98,25,5,20,600,60,20
99,20,10,18,600,60,20
100,20,5,18,3600,60,20
101,12,3,10,18000,70,15
102,20,5,18,30000,50,20
103,15,5,18,5000,60,20
104,20,5,18,6000,60,20
105,15-25,5-10,10-15,2000-2200,60-70,20-30
106,18,2.5,15,24000,70,10
107,25,5,20,6000,60,20
108,15-25,5-10,10-15,2400-2800,60-80,20
109,20,3,18,18000,70,20
110,22,5,18,3600,60,20
111,20°C,5mm,18°C,6 hours,50%,20mm
112,23,5,18,6000,70,20
113,20 °C,5 mm,18 °C,300 seconds,60%,50 mm
114,15-25,5-10,10-20,18000-21000,40-60,20-30
115,20,5,15,6000,50,20
116,20,5,18,3600,60,20
117,25,10,20,3600,70,50
118,15,5,12,18000,60,50
119,25,5,20,6000,70,50
120,20,5,18,600,50,20
121,24,5,20,600,65,15
122,20°C,10mm,18°C,3600 seconds,60%,20mm
123,18,5,15,18000,60,20
124,20,10,15,3600,70,20
125,25,5,20,6000,70,20
126,25,5,20,6000,60,50
127,20,5,18,18000,60,30
128,15,5,12,3600,70,10
129,15,5,10,24000,60,20
130,25,5,20,18000,60,20
131,20,5,18,3600,60,20
132,10-20,2-5,8-15,18000-22000,40-60,10
133,20,5,18,3000,60,10
134,22,5,18,30000,60,20
135,20,5,18,6000,60,10
136,15 °C,5 mm,12 °C,3600 seconds,60%,20 mm
137,18,5,15,6000,60,20
138,10,5,15,18000,60,30
139,15,5,10,5000,60,20
140,15,5,18,6000,60,20
141,20,5,18,18000,60,15
142,20,2,22,600,60,10
143,20,5,18,3000,60,20
144,18,5,15,6000,60,20
145,25,10,20,6000,60,20
146,18,5,14,3600,70,30
147,5-20,1-3,5-15,18000-22000,40-70,10
148,20 °C,5 mm,18 °C,8 hours,60 %,50 mm
149,15 °C,5 mm,10 °C,300 seconds,60 %,20 mm
150,25,5,20,6000,60,20
151,18,5,20,3000,60,30
152,20,5,18,6000,70,20
153,25,5,20,7200,60,20
154,25,5,20,6000,60,20
155,20,5,18,600,60,50
156,20,5,18,600,50,30
157,20,5,18,3600,70,10
158,22,5,20,600,60,10
159,20,10,18,3600,60,50
160,20,5,15,6000,60,20
161,20,5,18,3000,60,10
162,25,5,20,3000,60,20
163,22,5,18,6000,60,50
164,20,5,15,6000,50,20
165,18,5,15,5000,65,20
166,10-20,3-5,10-15,6-8,50-70,20
167,25,5,20,6000,80,20
168,15,5,10,24000,60,20
169,20,5,18,3600,70,20
170,12,5,10,3600,60,20
171,20,5,18,20000,60,20
172,20,5,18,6000,60,20
173,18,5,15,12000,60,20
174,20,5,15,7200,60,20
175,20,5,15,6000,60,10
176,18,5,20,18000,60,20
177,20,5,15,3600,70,30
178,20,2,15,3000,60,10
179,15,10,18,6000,50,30
180,15,5,20,6000,60,10
181,15,3,12,18000,70,10
182,22,5,18,3600,70,20
183,20 °C,5 mm,18 °C,8 hours,70%,20 mm
184,20-25,5-10,15-20,3000-3500,40-60,20
185,25 °C,5 mm,20 °C,120 seconds,60%,50 mm
186,15-20,5-10,12-18,2400-2800,40-60,20
187,15,5,10,3000,70,20
188,18,5,15,3600,70,20
189,15,2,12,3600,70,10
190,20,5,15,18000,60,20
191,20,5,15,3600,60,50
192,20,5,18,60000,70,50
193,15,5,12,3600,60,20
194,15,3,12,3600,70,20
195,18,5,15,24000,60,20
196,20,5,18,3600,60,20
197,20,5,18,18000,70,20
198,25,5,20,6000,70,20
199,20,5,15,18000,60,20
200,18,2,20,24000,60,20
201,20,5,15,3600,70,10
202,15,5,10,18000,70,20
203,15-25,2-3,10-20,6000-8000,50-70,50
204,10-25,2-5,10-20,18000-22000,40-70,10
205,25,5,20,600,60,10
206,20,5,18,6000,60,10
207,20 °C,5 mm,18 °C,8 hours,60%,10 mm
208,20,5,18,600,60,20
209,15,5,10,32000,60,20
210,10,3,12,24000,70,20
211,15,5,10,6000,50,20
212,15,5,18,18000,60,20
213,23,5,18,24000,60,20
214,15,5,12,3600,60,20
215,15.6,2.5,18.2,24000,65,20
216,15,5,12,18000,60,10
217,20,5,15,3600,70,10
218,20,5,18,6000,70,30
219,12,4,10,3600,70,20
220,17.5,4.5,15.8,43200,65,50
221,15,5,12,24000,70,20
222,20,5,18,3600,60,20
223,15,5,18,3600,60,20
224,20,5,18,3600,60,30
225,18,5,15,24000,60,20
226,15,2,12,18000,70,10
227,18,3,15,3600,60,20
228,25,5,18,6000,70,20
229,18,5,15,3600,60,20
230,20,5,18,6000,60,20
231,20,5,18,600,60,20
232,18,5,15,3600,70,20
233,20,5,15,3600,60,20
234,18,2,15,600,70,10
235,18.5,3.2,15.2,3600,65,15
236,20,4,18,24000,60,30
237,20,5,18,6000,60,20
238,25°C,5mm,20°C,10 seconds,50%,50mm
239,18,5,15,3600,70,20
240,18,2,15,3600,60,10
241,15,5,12,600,70,15
242,10-15°C,2-3 mm,8-12°C,6-8 hours,50-60%,50-100 mm
243,20,5,15,30000,60,20
244,15,5,12,3600,70,20
245,20,5,18,6000,70,20
246,25°C,5mm,20°C,8 hours,60%,10mm
247,18,5,15,3600,60,20
248,18,5,15,24000,60,15
249,15,3,12,6000,50,10
250,20,5,18,600,70,20
251,15,5,18,6000,70,20
252,15,5,10,12000,70,20
253,20,5,15,6000,60,20
254,25,5,18,600,70,20
255,12,4,10,18000,60,20
256,10-25,2-5,10-20,2000-2500,40-60,10-20
257,18,5,15,24000,60,20
258,15,5,12,3600,60,20
259,10 - 20,2 - 4,8 - 15,4 - 6,60 - 80,50
260,25,5,20,6000,70,15
261,20,5,15,3000,70,20
262,18,5,15,3600,60,20
263,20,5,18,3600,70,30
264,20,5,18,3000,60,20
265,18.5,6.7,20.2,24000,65,20
266,25,10,20,30000,60,50
267,12,5,10,20000,70,15
268,15-25,5-10,15-20,6-8,50-70,20
269,25,5,20,3600,70,20
270,22 °C,5 mm,18 °C,10 seconds,70%,20 mm
271,18-25,5-10,15-20,2400-2800,50-70,20
272,15,5,18,30000,60,20
273,18,5,15,6000,60,20
274,20,5,18,600,50,20
275,20,5,18,6000,70,15
276,20-25,5-10,15-20,8-10,40-60,20
277,20,5,18,18000,60,20
278,20,5,15,5000,60,20
279,20 °C,5 mm,18 °C,600 seconds,60%,20 mm
280,20,5,18,12000,60,20
281,15,5,18,6000,70,10
282,18,2,15,2400,60,10
283,25,5,20,3000,60,30
284,20,5,18,3600,60,20
285,25,5,18,3000,60,20
286,15-25,5-10,15-20,18000-20000,40-60,20
287,20,5,18,3600,60,20
288,18,10,15,6000,60,20
289,18,5,15,5000,60,20
290,20,5,15,9000,60,20
291,18,5,15,300,60,20
292,15,5,10,18000,60,20
293,20,5,15,6000,60,15
294,15,5,12,3600,60,20
295,25,5,20,3000,60,20
296,25,5,18,3000,60,20
297,15,5,12,18000,60,20
298,24,5,20,6000,70,20
299,18,2,15,18000,60,20
300,18 °C,5 mm,15 °C,8 hours,60%,20 mm
301,25,5,20,6000,60,20
302,20,5,18,600,60,20
303,25,5,20,6000,50,20
304,20,5,15,36000,60,50
305,15,5,10,6000,60,15
306,15-20,5-10,12-15,18000-20000,40-60,20
307,-5,5,3,18000,70,30
308,15,5,12,2400,60,20
309,15,2,10,18000,60,20
310,23,5,18,6000,50,20
311,25,5,20,6000,60,30
312,25,5,20,3600,60,10
313,20,5,15,6000,60,20
314,15,5,12,6000,70,20
315,15,5,10,6000,70,20
316,10-20,3-5,10-15,4-6,60-80,20
317,20,5,15,600,70,10
318,25,10,20,3600,70,50
319,20,5,15,6000,60,20
320,20,5,15,6000,60,20
321,15.3,2.5,14.8,28000,60,20
322,20,5,18,6000,60,20
323,15,5,12,12000,70,20
324,25,10,20,6000,60,50
325,20,5,15,60000,60,10
326,15,5,12,3600,50,10
327,18,5,15,3000,60,20
328,20,5,18,600,60,20
329,15,5,12,6000,70,20
330,25,10,20,3000,60,50
331,25,10,20,3000,60,50
332,15,5,12,18000,70,20
333,20,3,18,30000,60,20
334,14.5,3.2,12.8,18000,75,10
335,20,5,15,6000,60,50
336,15,5,20,18000,70,20
337,22,5,18,3600,45,20
338,16,5,14,300,60,20
339,20,5,15,600,70,20
340,12,5,10,3600,70,50
341,15.5,2.3,18.2,25000,60,30
342,20,5,15,6000,70,30
343,18,5,15,600,70,30
344,20,5,15,6000,60,20
345,18,5,15,3600,60,30
346,16,5,18,6000,60,20
347,15,5,18,6000,50,20
348,20,5,18,18000,60,50
349,18,3,15,6000,60,20
350,15,5,20,18000,50,50
351,12,2,10,18000,70,10
352,10-25,2-5,10-20,3000-3500,40-60,10
353,15.6,4.5,12.3,6300,65,50
354,20,5,15,12000,65,30
355,20,5,15,6000,60,20
356,18,5,20,600,70,30
357,20,5,15,3600,60,20
358,15-25,5-10,15-20,6-8,60-80,20
359,20,5,18,30000,60,20
360,10-20,2-3,10-15,6-8,40-60,20-30
361,20,5,15,3600,60,10
362,15,5,18,6000,70,20
363,20,5,15,3600,60,20
364,25,5,22,9000,70,50
365,20,5,15,3600,60,20
366,15-25,5-10,10-20,2400-2800,40-60,20-30
367,18,5,15,30000,70,50
368,20,5,18,300,60,20
369,20,10,25,6000,60,50
370,22,3,18,24000,60,25
371,20,5,15,6000,60,20
372,18,5,15,24000,60,20
373,18,5,15,6000,60,20
374,25,5,20,3000,70,20
375,19.7,2.5,16.5,25000,60,20
376,15-25,2-5,10-20,1200-1600,40-60,10
377,15,5,10,24000,60,30
378,20,5,15,12000,60,20
379,22.5,5.8,20.3,21600,60,20
380,22,5,18,6000,60,50
381,25,5,20,6000,60,20
382,15,5,18,6000,60,20
383,15,5,12,60000,60,20
384,25,5,20,6000,60,20
385,10,2,8,3000,60,10
386,20,5,18,600,60,10
387,20,5,15,600,60,20
388,18,5,15,6000,60,20
389,15,5,12,18000,60,20
390,18,5,15,3600,60,20
391,20,5,15,6000,70,20
392,20,5,18,3000,60,20
393,18,5,15,30000,60,20
394,18,5,15,3600,60,20
395,25,5,20,3600,70,50
396,15,5,18,6000,70,20
397,15,5,10,3600,60,20
398,10-20,2-5,10-15,4000-5000,40-60,20
399,18,3,15,24000,60,20
400,25,5,20,3000,70,50
401,25,5,20,3600,60,50
402,25°C,5 mm,20°C,600 seconds,70%,50 mm
403,20,5,18,6000,60,20
404,18,5,15,6000,70,15
405,18 °C,5 mm,15 °C,500 seconds,60%,20 mm
406,18,5,15,18000,60,50
407,25,5,20,3600,60,20
408,20,5,15,6000,50,30
409,20,5,18,6000,60,50
410,20,5,15,6000,60,20
411,20,10,18,6000,60,30
412,15,5,12,6000,60,20
413,15,5,10,18000,70,20
414,18,5,15,24000,70,50
415,22,5,18,6000,60,20
416,18,5,15,3000,50,20
417,20,5,18,3000,60,20
418,25,5,20,18000,60,20
419,20,5,15,6000,60,20
420,16.5,2.3,14.2,25000,70,20
421,18,5,15,30000,60,20
422,20,5,18,3600,60,50
423,15,5,18,30000,70,50
424,18,5,15,6000,60,20
425,20,5,15,6000,60,20
426,15,5,10,24000,60,20
427,20,5,18,600,60,20
428,10,10,12,300,60,50
429,10-25,2-5,10-20,4-6,40-60,50-100
430,15,5,18,3600,60,50
431,20,5,18,24000,65,20
432,25,5,22,6000,70,20
433,25,5,20,3600,70,30
434,15,5,18,600,50,20
435,20,5,18,6000,60,20
436,17,2.5,14,3000,60,50
437,20,5,15,6000,60,20
438,15,5,12,24000,50,20
439,20,5,18,6000,70,20
440,22,5,18,6000,60,20
441,15,5,18,3600,60,20
442,20,5,18,600,70,20
443,10-20,2-4,10-15,18000-22000,40-60,20
444,18,5,15,6000,65,20
445,15,5,12,30000,60,20
446,20,5,15,18000,60,20
447,20,5,18,3600,50,20
448,20,5,18,3600,60,30
449,15,5,10,3600,50,20
450,10-20,2-5,15-25,18000-20000,40-60,20
451,20,5,18,6000,80,20
452,18,5,15,24000,60,20
453,15 - 25,5 - 10,10 - 20,18000 - 22000,40 - 70,20 - 30
454,15,5,12,6000,50,20
455,15,5,18,6000,60,20
456,20,5,15,6000,60,20
457,20,5,15,6000,60,20
458,18,5,15,24000,60,30
459,20,5,15,3000,60,30
460,18,5,20,6000,60,50
461,15,5,10,18000,60,20
462,18,3,15,24000,60,10
463,20,5,18,24000,70,25
464,20.5,5,18.2,28800,60,50
465,15 - 20,5 - 10,12 - 18,6000 - 8000,40 - 60,30
466,25,5,20,3600,70,20
467,18,5,15,6000,60,20
468,20,5,15,3000,60,25
469,22,5,18,6000,50,15
470,15.6,3.2,13.8,24000,70,30
471,25,5,20,3600,60,20
472,20,5,15,300,60,20
473,18,5,15,6000,70,30
474,20,5,15,6000,60,20
475,22,5,18,18000,70,50
476,18,5,15,6000,60,30
477,10-25,5-10,15-20,6-8,40-60,20-30
478,15,5,18,6000,50,20
479,18,3,15,3600,60,50
480,18,5,15,3000,60,20
481,18,5,15,3000,60,20
482,15-25,5-10,10-20,3000-3500,40-60,20-30
483,22,5,18,3000,60,20
484,10-20,2-5,10-15,6-8,40-60,10-20
485,17,2,20,25000,55,20
486,20,5,15,3600,60,20
487,25,5,20,6000,60,20
488,20,5,18,3000,70,50
489,-5.8,5.2,5.1,28800,60,20
490,20,5,18,600,60,20
491,20,5,18,3600,60,50
492,18,5,15,18000,60,50
493,20,5,15,6000,60,20
494,10-30 °C,Varies depending on the region,15-25 °C,Varies depending on the region,Varies depending on the region,Varies depending on the region
495,10-20,5-10,12-18,3000-3500,40-60,20-30
496,20,5,15,6000,60,20
497,20,5,18,6000,60,20
498,15,5,18,6000,60,20
499,20,5,18,3600,60,20
500,20,10,18,3600,60,50
501,12,5,10,3000,60,20
502,23,5,18,300,60,20
503,20.5,5,18,3600,65,30
504,18,5,15,30000,50,20
505,25,10,20,3000,60,50
506,15-25,2-5,12-20,24000-28000,40-60,10
507,10-25,5-15,10-20,24000-28000,60-80,20
508,20,5,15,6000,60,50
509,20,5,18,3600,60,50
510,18,3,15,24000,60,20
511,20,5,15,6000,60,20
512,18,5,15,3600,60,20
513,15,5,12,3600,70,20
514,20,5,18,3600,70,20
515,18.5,5.6,15.2,26400,70,50
516,15,5,20,3600,60,20
517,22,5,18,6000,50,50
518,18,5,15,6000,60,20
519,20,5,18,3600,70,20
520,15-25,3-5,10-20,6-8,50-70,20
521,20,5,18,3600,70,20
522,25,5,20,3600,60,20
523,20,5,15,18000,60,50
524,20,5,15,18000,60,50
525,18,4,15,24000,60,20
526,15,5,12,3000,60,20
527,18,5,15,6000,60,20
528,18,5,15,6000,60,20
529,20,5,15,12000,60,20
530,18,5,15,18000,60,20
531,15-25,5-10,10-15,2000-2500,40-60,15-20
532,10,5,15,18000,60,30
533,20,5,18,6000,60,20
534,20,5,18,3000,70,20
535,10-25,5-10,10-20,6-8,40-70,20
536,22.5,5.2,15.7,3600,60,20
537,10-25,5-10,10-20,4-8 hours,40-60,50
538,20,5,18,3600,60,50
539,15.6,2.5,12.3,27000,65,50
540,25,5,20,6000,60,10
541,15,5,10,24000,60,30
542,18,5,15,18000,60,20
543,15-30,2-5,15-25,6-8,40-60,50-100
544,18,3,15,3000,60,20
545,20,5,15,18000,60,20
546,20,5,15,6000,60,20
547,15-25,2-5,10-20,24000-28000,40-60,10
548,25,5,20,600,60,20
549,25,10,20,3600,70,20
550,25,5,20,3000,60,20
551,-5,5,2,30000,70,20
552,25,5,20,6000,70,10
553,25,5,20,300,60,20
554,25,10,20,18000,70,50
555,25,5,20,6000,70,20
556,25,10,20,18000,60,50
557,25,5,20,18000,65,50
558,25,5,20,6000,60,20
559,20-25,5-10,15-20,3000-3500,60-70,20
560,18.5,4.2,14.8,18000,65,20
561,25,5,20,6000,60,20
562,25,5,20,6000,50,20
563,25,10,22,600,60,50
564,25,10,20,3600,70,20
565,25,10,20,3600,60,50
566,25,5,20,600,70,10
567,25,5,20,6000,60,20
568,25,5,20,3600,60,20
569,22,5,18,600,65,20
570,25,5,20,6000,60,20
571,20,5,18,600,60,20
572,10 °C,5 mm,8 °C,300 seconds,60%,20 mm
573,20 °C,10 mm,25 °C,12 hours,60%,50 mm
574,25,5,20,300,60,50
575,20-25,5-10,15-20,18000-20000,60-70,50-100
576,25,10,22,6000,70,20
577,20,5,18,3600,60,20
578,25,10,20,3600,70,20
579,25,5,20,600,70,20
580,25,10,20,3000,60,50
581,0,0,0,0,0,0
582,20,5,18,600,70,20
583,25.5,10.2,21.8,43200,75,50
584,20,10,18,6000,70,50
585,20,5,18,3600,60,20
586,22,10,18,6000,60,50
587,24,5,18,28000,65,20
588,20,5,18,6000,60,20
589,22,5,18,28800,60,25
590,20,5,18,6000,70,20
591,20,2,18,3000,50,20
592,18,5,15,300,70,20
593,20,5,18,6000,60,20
594,20,5,15,6000,60,20
595,20,5,18,60000,60,20
596,18,3,15,3600,50,50
597,20,5,15,6000,50,10
598,25,5,20,6000,60,20
599,20,5,18,6000,60,50
600,25,5,18,6000,60,20
601,25,10,20,3000,60,50
602,25,5,20,3600,70,30
603,20,5,18,6000,60,20
604,20,5,18,300,50,15
605,25,5,20,6000,60,20
606,25 °C,10 mm,20 °C,600 seconds,70%,20 mm
607,15-25,5-10,15-20,3000-3500,40-60,20
608,18,2,15,18000,60,10
609,20,5,18,6000,60,20
610,20-25,5-10,15-20,6-8,60-70,50-100
611,20,5,15,6000,50,20
612,20,5,18,6000,60,20
613,22,5,18,18000,60,30
614,20,5,18,6000,60,10
615,25,3,20,6000,50,20
616,20,5,15,3600,60,20
617,25,5,20,3600,60,20
618,25,5,20,6000,70,50
619,20,5,18,6000,60,20
620,25,5,20,3600,60,20
621,20 - 30,3 - 5,15 - 25,6 - 8,40 - 60,20
622,20,5,18,6000,50,10
623,20-30,5-15,15-25,24000-28000,40-60,30
624,20,5,15,6000,60,20
625,20,5,18,600,60,50
626,-5,10,5,30000,60,50
627,25,5,20,3600,50,20
628,18,5,15,30000,50,20
629,20,5,18,6000,60,10
630,25,5,20,6000,60,20
631,25,5,20,3600,60,20
632,25,10,20,6000,60,50
633,18,5,15,600,60,20
634,25,5,20,6000,50,30
635,21,5,18,3600,50,20
636,22,5,18,6000,60,20
637,20,5,15,3600,60,20
638,20,5,15,6000,60,50
639,25,5,20,600,60,20
640,20,2,15,6000,60,20
641,25,10,20,300,60,50
642,20,5,18,6000,70,20
643,18,2,15,6000,60,50
644,25 °C,10 mm,20 °C,3600 seconds,60%,20 mm
645,25,10,20,18000,60,50
646,25,5,20,6000,70,20
647,25,10,20,30000,60,50
648,25,3,20,6000,60,50
649,20-25,5-10,15-20,3000-3500,50-70,30-50
650,25,5,20,3600,60,10
651,22,5,18,600,60,20
652,25,5,20,3600,70,10
