,Average Temperature (2 m)_1,Average Temperature (2 m)_2,Average Precipitation per day_1,Average Precipitation per day_2,Average Soil Temperature (0 to 6 cm)_1,Average Soil Temperature (0 to 6 cm)_2,Average Sunshine Duration_1,Average Sunshine Duration_2,Humidity(%)_1,Humidity(%)_2,Rainfall Alert Maximum Rain (mm)_1,Rainfall Alert Maximum Rain (mm)_2
633,22,,5,,18,,3000,,60,,20,
634,25,,10,,20,,6000,,60,,50,
635,20,,5,,15,,30000,,60,,20,
636,15,25,5,10,10,20,18000,20000,40,60,50,70
637,18.5,,3.2,,15.7,,3600,,55,,10,
638,22,,5,,18,,8000,,60,,20,
639,18,,2,,15,,24000,,60,,20,
640,20,,5,,15,,30000,,60,,20,
641,20,,5,,18,,6000,,60,,20,
642,20,,5,,18,,600,,70,,20,
643,20,,5,,18,,3000,,70,,50,
644,15,25,5,10,10,20,18000,20000,40,60,20,
645,20,,5,,15,,3600,,70,,20,
646,20,,5,,15,,3600,,60,,20,
647,20,,5,,15,,18000,,60,,20,
648,20,,5,,15,,6000,,70,,50,
649,20,,5,,18,,60000,,60,,20,
650,20,,5,,18,,3600,,60,,20,
651,15,,5,,10,,30000,,60,,20,
652,10,25,3,5,10,15,6,8,40,60,20,30
653,15,,5,,12,,3600,,60,,20,
654,20.5,,3.8,,18.2,,7200,,65,,20,
655,25,,5,,20,,18000,,70,,20,
656,20,,5,,18,,6000,,60,,20,
657,15,,5,,12,,3600,,50,,10,
658,20,,5,,15,,300,,60,,15,
659,25,,5,,20,,18000,,60,,20,
660,20,,5,,18,,3600,,60,,15,
661,20,,5,,18,,6000,,50,,30,
662,15,,5,,18,,3000,,60,,20,
663,15,20,2,4,10,15,18000,20000,70,80,20,
664,15,,5,,12,,2400,,60,,50,
665,25,,5,,20,,3000,,60,,20,
666,20,,5,,15,,12000,,50,,20,
667,18,,5,,15,,3600,,60,,20,
668,25,,5,,20,,20000,,70,,50,
669,20,,5,,15,,3600,,70,,20,
670,10,25,5,15,10,20,18000,22000,40,70,20,
671,20,,5,,15,,60000,,60,,20,
672,25,,5,,20,,3600,,60,,20,
673,20,,5,,18,,3600,,60,,20,
674,12,,4,,10,,3600s,,60,,15,
675,20,,5,,15,,3600,,60,,20,
676,15,,5,,12,,24000,,70,,20,
677,15,,5,,12,,6000,,60,,20,
678,18,,3,,15,,24000,,60,,10,
679,20,,5,,15,,18000,,60,,10,
680,20,,5,,15,,18000,,60,,20,
681,20,,5,,18,,24000,,60,,20,
682,15,,5,,18,,7200,,60,,20,
683,12,,5,,10,,30000,,60,,20,
684,18,,5,,15,,24000,,60,,20,
685,18,,5,,15,,3000,,70,,20,
686,15,,5,,20,,6000,,70,,20,
687,15,,5,,12,,6000,,60,,20,
688,20,,5,,18,,6000,,50,,20,
689,20,,5,,18,,3600,,60,,20,
690,18,,5,,15,,18000,,65,,20,
691,20,,5,,15,,3600,,70,,20,
692,20,,5,,18,,3600,,60,,20,
693,25,,5,,20,,6000,,60,,50,
694,25,,5,,20,,24000,,70,,20,
695,15,25,5,10,10,20,3000,3500,40,60,20,
696,20,,5,,18,,3600,,70,,20,
697,10,,5,,15,,24000,,50,,20,
698,18,,5,,15,,3600,,60,,20,
699,15,,5,,10,,3600,,60,,20,
700,18,,5,,15,,3600,,60,,20,
701,18,,5,,15,,18000,,70,,20,
702,18,,5,,15,,3600,,70,,20,
703,25,,5,,20,,12000,,70,,50,
704,15,25,5,10,18,22,24000,28000,50,70,50,100
705,20,,5,,15,,30000,,60,,20,
706,25,,5,,20,,3000,,60,,20,
707,25,,5,,20,,6000,,60,,20,
708,22,,4,,18,,6000,,65,,20,
709,15,,5,,10,,3600,,65,,20,
710,25,,5,,20,,3600,,60,,20,
711,20,25,5,10,15,20,6,8,40,60,20,
712,20,,5,,18,,6000,,60,,30,
713,25,,5,,20,,3600,,50,,20,
714,25,,10,,20,,6000,,70,,50,
715,20,,5,,18,,6000,,70,,20,
716,18,,5,,15,,600,,70,,20,
717,15,,3,,12,,18000,,60,,20,
718,18,,5,,15,,18000,,60,,10,
719,10.5,,5.2,,12.3,,24000,,60,,20,
720,10,20,5,10,12,18,6,8,40,60,20,
721,21,,5,,18,,3600,,70,,20,
722,25,,5,,20,,6000,,70,,10,
723,25.5,,5.3,,22.7,,3600,,65,,50,
724,20,,5,,15,,6000,,60,,20,
725,25,,10,,20,,6000,,70,,50,
726,18,,2,,15,,3000,,60,,20,
727,20,,5,,15,,3000,,60,,20,
728,25,,5,,20,,3600,,70,,20,
729,20,,5,,18,,18000,,70,,20,
730,15,25,5,10,10,20,18000,20000,40,60,15,
731,20,,5,,15,,600,,60,,20,
732,15,20,5,10,12,18,24000,30000,40,60,20,
733,20,,5,,18,,600,,60,,20,
734,22,,5,,20,,600,,60,,20,
735,20,,5,,18,,18000,,70,,10,
736,15,,5,,12,,3600,,60,,20,
737,25,,5,,20,,6000,,70,,100,
738,20,,5,,18,,600,,70,,20,
739,15,,3,,12,,18000,,70,,10,
740,20,25,5,10,15,20,3600,4000,40,60,20,
741,15,,5,,12,,3600,,60,,20,
742,25,,5,,20,,3600,,70,,20,
743,18,,5,,15,,6h,,70,,30,
744,18,,5,,15,,3600,,60,,20,
745,15,,5,,12,,3000,,60,,20,
746,18,,5,,15,,6000,,60,,10,
747,25,,5,,20,,3000,,60,,20,
748,15,,5,,12,,24000,,60,,50,
749,25,,10,,20,,600s,,60,,50,
750,20,,5,,18,,6000,,60,,20,
751,25,,5,,20,,6000,,70,,50,
752,20,,5,,18,,3000,,60,,20,
753,15,,5,,10,,3600,,60,,20,
754,25,,10,,20,,3600,,60,,50,
755,25,,5,,20,,18000,,60,,20,
756,20,,5,,18,,300,,60,,20,
757,24,,5,,20,,6000,,60,,10,
758,22.5,,5.2,,18.7,,28800,,60,,15,
759,22,,5,,18,,3600,,60,,20,
760,18,,5,,15,,6000,,60,,20,
761,25,,5,,20,,300,,60,,50,
762,15,,5,,20,,600,,70,,20,
763,25,,10,,20,,3600,,60,,50,
764,15,,5,,18,,3600,,60,,20,
765,20,,5,,18,,28800,,60,,20,
766,25,,10,,20,,3600,,70,,50,
767,20,,5,,18,,24000,,70,,10,
768,18,,5,,15,,18000,,60,,20,
769,20,,5,,15,,18000,,70,,10,
770,25,,5,,20,,3600,,70,,20,
771,20,,5,,18,,6000,,60,,20,
772,18,,2,,15,,18000,,60,,10,
773,25,,5,,20,,7200,,60,,50,
774,10,24,2,5,8,15,18000,22000,40,70,30,
775,15,,5,,12,,18000,,70,,20,
776,15,,5,,12,,18000,,70,,20,
777,20,,5,,15,,18000,,60,,20,
778,18,,5,,15,,3600,,60,,20,
779,20,,5,,15,,18000,,70,,20,
780,10,25,2,5,10,20,6,8,40,70,10,
781,20,,5,,18,,3600,,70,,20,
782,15,25,2,5,10,15,18000,20000,60,80,10,20
783,18,,5,,15,,18000,,60,,20,
784,25,,10,,20,,600s,,70,,50,
785,20,,5,,18,,6000,,50,,20,
786,20,,5,,15,,3600,,60,,20,
787,20,,5,,18,,6000,,60,,10,
788,20,,5,,15,,3600,,70,,20,
789,24.5,,5.8,,21.2,,3600,,65,,50,
790,20,,5,,18,,3000,,60,,50,
791,18.5,,5.2,,15.3,,26000,,65,,50,
792,18,,3,,15,,6000,,60,,20,
793,22,,5,,18,,24000,,60,,50,
794,20,,5,,15,,3600,,60,,50,
795,18,,2,,15,,3600,,60,,20,
796,18,,5,,15,,6000,,60,,20,
797,18,,5,,15,,12000,,60,,10,
798,21.5,,5.3,,18.7,,25000,,60,,50,
799,20,,5,,15,,18000,,70,,20,
800,20,,5,,18,,600,,70,,20,
801,20,,5,,15,,6000,,70,,20,
802,15,,5,,10,,3600,,70,,20,
803,20,,5,,15,,3600,,60,,20,
804,0,,0,,0,,0,,0,,0,
805,17,,3.5,,15,,24000,,60,,10,
806,20,,5,,15,,18000,,60,,20,
807,25,,10,,20,,300,,60,,20,
808,20,,5,,15,,18000,,70,,20,
809,25,,10,,20,,3600,,60,,50,
810,20,,5,,18,,6000,,70,,20,
811,18,,5,,15,,3000,,60,,20,
812,20,,5,,18,,300,,60,,20,
813,20,,5,,15,,300s,,50,,10,
814,0,,0,,0,,0,,0,,0,
815,18,,5,,15,,3600,,60,,20,
816,25,,10,,20,,300s,,60,,50,
817,10,,5,,8,,3000,,60,,50,
818,15,,5,,12,,18000,,60,,20,
819,22,,5,,18,,6000,,60,,10,
820,18,,5,,15,,3600,,60,,20,
821,20,,5,,15,,18000,,70,,20,
822,20,,5,,18,,6000,,60,,10,
823,18,,5,,15,,3000,,60,,20,
824,20,,5,,15,,6000,,70,,20,
825,20,,5,,18,,18000,,60,,15,
826,25,,5,,20,,6000,,50,,20,
827,18,,5,,15,,18000,,65,,20,
828,18,,5,,15,,3600,,60,,20,
829,20,,5,,18,,6000,,60,,10,
830,15,,5,,12,,3600,,60,,10,
831,25,,5,,22,,3000,,60,,20,
832,20,,5,,18,,6000,,60,,20,
833,15,,5,,12,,600s,,70,,20,
834,18,,5,,15,,3600,,60,,20,
835,18.5,,2.3,,15.2,,23400,,65,,20,
836,15,,5,,18,,600,,60,,20,
837,18,,5,,15,,30000,,60,,20,
838,18,,5,,16,,24000,,60,,20,
839,25,,5,,20,,18000,,60,,20,
840,18,,5,,20,,3600,,70,,15,
841,25,,5,,20,,600,,70,,20,
842,20,,5,,15,,600s,,60,,20,
843,20,,5,,15,,6000,,60,,20,
844,10,25,5,10,15,20,18000,22000,50,70,20,
845,20,,5,,15,,6000,,60,,20,
846,18,,5,,15,,3000,,60,,20,
847,20,,5,,15,,12000,,50,,20,
848,25,,5,,20,,6000,,70,,20,
849,22,,5,,18,,12000,,60,,20,
850,15,25,3,5,10,15,18000,20000,60,80,30,50
851,10,,5,,8,,18000,,70,,20,
852,18,,5,,15,,24000,,70,,20,
853,20,,5,,15,,3600,,60,,20,
854,20,,5,,15,,6000,,60,,20,
855,20,,5,,18,,6000,,70,,20,
856,20,,5,,15,,3600,,70,,20,
857,15,25,5,10,10,20,4,6,40,60,20,
858,15,,5,,12,,24000,,70,,20,
859,15,,4,,12,,3000,,60,,20,
860,20,,5,,18,,3600,,70,,20,
861,20,,5,,15,,6000,,60,,20,
862,20,25,5,10,15,20,18000,20000,60,70,50,
863,15,,5,,10,,3600,,60,,20,
864,10,,3,,8,,30000,,60,,10,
865,20,,5,,18,,18000,,70,,20,
866,22,,5,,18,,6000,,55,,15,
867,25,,5,,20,,3600,,60,,30,
868,20,,5,,18,,300s,,60,,50,
869,20,,5,,15,,3600,,50,,15,
870,10,,3,,12,,3000,,50,,20,
871,7,,3,,8,,18000,,70,,15,
872,18,,5,,15,,24000,,60,,20,
873,25,,5,,20,,3000,,60,,20,
874,18,,5,,15,,3600,,60,,20,
875,20,,5,,18,,6000,,70,,20,
876,20,,5,,18,,3600,,50,,20,
877,20,,5,,18,,6000,,60,,20,
878,25,,10,,18,,6000,,60,,50,
879,20,,5,,15,,3600,,50,,20,
880,25,,5,,20,,10s,,60,,50,
881,15,,5,,18,,3600,,60,,50,
882,25,,5,,20,,3000,,60,,20,
883,25,,10,,20,,30000,,60,,50,
884,20,,5,,18,,30000,,60,,10,
885,25,,5,,20,,6000,,60,,20,
886,22,,5,,18,,6000,,70,,20,
887,18,,5,,15,,24000,,70,,20,
888,20,,5,,15,,3600,,70,,20,
889,18,,5,,15,,6000,,70,,20,
890,25,,5,,20,,10000,,60,,20,
891,20,,5,,18,,18000,,60,,20,
892,25,,5,,20,,3600,,60,,20,
893,15,,5,,12,,18000,,70,,20,
894,18.5,,5.2,,16.8,,23500,,65,,15,
895,25,,5,,20,,6000,,60,,20,
896,25,,5,,18,,3600,,70,,20,
897,20,,5,,18,,7200,,60,,50,
898,15,,5,,12,,18000,,70,,20,
899,20,,5,,18,,6000,,70,,10,
900,15,20,2,4,10,15,2000,2500,40,60,10,
901,20,,5,,18,,3000,,60,,20,
902,20,,5,,18,,6000,,70,,20,
903,25,,5,,20,,3600,,70,,20,
904,20,,5,,18,,3600,,60,,20,
905,20,,10,,15,,300,,60,,50,
906,22,,5,,18,,6000,,60,,20,
907,20,,5,,15,,6000,,60,,20,
908,20,,5,,15,,600,,70,,20,
909,22,,5,,18,,6000,,60,,20,
910,15,,5,,12,,3600,,60,,50,
911,25,,5,,20,,3000,,50,,20,
912,15,,5,,12,,24000,,60,,20,
913,20,,5,,18,,3600,,60,,50,
914,20,,5,,15,,3600,,60,,15,
915,15,,5,,10,,5000,,60,,20,
916,10,,3,,8,,6h,,60,,10,
917,20,,5,,15,,3000,,60,,30,
918,15,,5,,12,,6000,,60,,20,
919,15,,2,,10,,5000,,60,,10,
920,25,,5,,22,,600,,60,,50,
921,25,,5,,20,,6000,,70,,20,
922,25,,5,,18,,3600,,70,,20,
923,18.5,,3.2,,15.2,,24000,,70,,50,
924,20,,5,,18,,3600,,70,,20,
925,24,,5,,18,,600,,60,,20,
926,20,,5,,15,,3600,,50,,20,
927,15,,5,,12,,3600,,50,,50,
928,20,,5,,15,,6000,,60,,20,
929,15,,5,,12,,3000,,60,,20,
930,15,25,5 , 10,10 , 15,18000 , 22000,40 , 60,20,
931,20,,5,,15,,18000,,60,,50,
932,15,,5,,12,,18000,,70,,50,
933,10,,5,,12,,18000,,65,,20,
934,15,,5,,12,,3600,,60,,20,
935,20,,5,,15,,3600,,60,,20,
936,20,,5,,18,,18000,,60,,20,
937,15,,5,,18,,600,,65,,30,
938,10,,5,,15,,18000,,60,,20,
939,20,,5,,15,,3600,,60,,20,
940,20,,5,,18,,600,,70,,20,
941,10,20,5,10,8,15,1200,1600,40,70,20,
942,18,,5,,15,,28800,,70,,20,
943,12.5,,5,,10,,300s,,60,,20,
944,18,,5,,15,,6000,,60,,50,
945,25,,5,,20,,12000,,60,,50,
946,25,,10,,20,,18000,,60,,50,
947,18,,5,,15,,28000,,60,,20,
948,20,,5,,18,,5000,,60,,20,
949,20,,5,,18,,6000,,60,,10,
950,20,,5,,18,,600s,,50,,30,
951,25,,5,,20,,3600,,60,,20,
952,25,,5,,20,,6000,,70,,20,
953,25,,5,,20,,6000,,70,,20,
954,20.5,,5,,18.2,,300,,60,,15,
955,18,,5,,15,,600,,60,,20,
956,20,,5,,15,,600,,70,,20,
957,20,,5,,18,,600,,70,,15,
958,18,,5,,15,,5000,,60,,10,
959,15,25,2,5,10,15,1200,1500,50,70,20,
960,15,,5,,10,,3600,,70,,20,
961,20,,5,,18,,3600,,60,,15,
962,18,,5,,15,,6000,,70,,15,
963,15,,5,,12,,6000,,60,,10,
964,15,,5,,12,,18000,,60,,20,
965,20,,5,,18,,3600,,60,,20,
966,20,,5,,15,,6000,,60,,20,
967,20,,5,,15,,3600,,60,,20,
968,10,,5,,12,,3600,,70,,20,
969,20,,5,,18,,6000,,60,,20,
970,20,,5,,18,,6000,,60,,20,
971,24,,5,,18,,30000,,60,,20,
972,25,,5,,20,,6000,,60,,20,
973,25,,5,,20,,3600,,60,,20,
974,20,,5,,15,,25000,,60,,30,
975,18,,5,,15,,300,,60,,20,
976,25,,5,,20,,6000,,70,,10,
977,18,24,3,5,15,20,6000,7000,40,60,20,
978,20,,5,,15,,18000,,60,,20,
979,25,,5,,20,,600,,60,,50,
980,25,,10,,20,,6000,,70,,50,
981,15,,5,,10,,6000,,70,,20,
982,18,,5,,15,,18000,,60,,20,
983,15,,5,,20,,3600,,50,,20,
984,18,,5,,15,,600,,60,,20,
985,14,,3,,12,,18000,,60,,10,
986,15,,5,,10,,18000,,60,,20,
987,15,,5,,18,,3600s,,60,,20,
988,15,,5,,18,,3600,,60,,20,
989,18,,5,,15,,60000,,70,,10,
990,25,,2,,20,,6000,,50,,20,
991,20,,5,,15,,12000,,60,,20,
992,20,,5,,18,,600,,60,,30,
993,20,,5,,18,,12000,,60,,20,
994,20,25,10,20,15,20,2400,2600,40,60,50,60
995,25,,10,,20,,300,,60,,50,
996,25,,5,,20,,300,,70,,20,
997,15,,5,,18,,6000,,70,,20,
998,20,,2,,15,,3000,,60,,10,
999,15,,5,,12,,6000,,50,,20,
1000,15.5,,3.4,,14.2,,23000,,65,,50,
1001,22,,5,,18,,6000,,70,,20,
1002,20,,5,,15,,3600,,70,,15,
1003,15,,5,,18,,6000,,60,,20,
1004,15,,5,,12,,3600,,70,,50,
1005,22,,5,,18,,3600,,60,,50,
1006,20,,5,,18,,6000,,60,,20,
1007,15,25,2,4,15,20,2400,2800,40,60,10,
1008,,5,5,,4,,600,,80,,20,
1009,25,,10,,20,,6000,,70,,50,
1010,20,,5,,18,,3600,,50,,20,
1011,20,,5,,18,,18000,,60,,20,
1012,20,,5,,15,,600,,60,,20,
1013,20,,5,,18,,18000,,60,,20,
1014,18,,2,,15,,6000,,60,,10,
1015,18.5,,5.7,,15.2,,4200s,,65,,20,
1016,28,,10,,25,,3600,,60,,50,
1017,20,,5,,15,,3600,,60,,20,
1018,10,25,5,10,15,20,5,8,50,70,20,
1019,20,,5,,18,,20000,,60,,20,
1020,20,,5,,18,,6000,,60,,50,
1021,15,,5,,10,,18000,,65,,20,
1022,10,,5,,15,,18000,,70,,20,
1023,22,,2,,25,,18000,,60,,10,
1024,25,,10,,20,,12000,,70,,50,
1025,18,,3,,15,,6000,,70,,20,
1026,18.5,,5.2,,15.2,,3600,,75,,20,
1027,12.5,,3.2,,11.8,,"5,400s",,65,,50,
1028,20,,5,,18,,600,,50,,20,
1029,15,,5,,10,,3600,,60,,20,
1030,20,,5,,15,,18000,,50,,20,
1031,18,,2,,15,,24000,,60,,10,
1032,25,,5,,20,,3600,,50,,20,
1033,22,,5,,18,,7200,,60,,20,
1034,20,,5,,18,,3600,,60,,20,
1035,20,,10,,18,,6000,,70,,50,
1036,25,,5,,20,,6000,,60,,20,
1037,10,25,5,20,10,20,18000,22000,60,80,50,
1038,15,,5,,10,,6000,,70,,20,
1039,12.5,,3.5,,10.2,,3000,,60,,20,
1040,20,,5,,18,,6000,,60,,20,
1041,20,,5,,18,,3600s,,50,,10,
1042,25,,10,,20,,6000,,60,,20,
1043,18,,5,,15,,24000,,60,,20,
1044,20,,5,,15,,6000,,60,,20,
1045,20,,5,,18,,6000,,50,,20,
1046,20,,5,,18,,6000,,60,,20,
1047,15,25,1,3,10,20,2400,2800,40,60,50,100
1048,20,,5,,18,,24000,,60,,10,
1049,20,,5,,15,,18000,,60,,15,
1050,20,,5,,18,,3600,,60,,20,
1051,15,,5,,12,,600,,60,,20,
1052,15,,5,,12,,6000,,60,,20,
1053,18,,5,,15,,3600,,50,,20,
1054,18,,5,,15,,600,,60,,20,
1055,18,,5,,15,,30000,,60,,10,
1056,25.6,,4.7,,20.3,,32400,,70,,50,
1057,25,,5,,22,,18000,,50,,20,
1058,18,,3,,15,,3600,,70,,10,
1059,25,,5,,20,,6000,,60,,15,
1060,18,,5,,15,,600,,65,,20,
1061,18,,5,,15,,24000,,60,,20,
1062,10,25,5,15,10,20,4,8,40,70,20,30
1063,18,,10,,15,,18000,,70,,50,
1064,15,,3,,12,,3600,,60,,10,
1065,20,,5,,18,,30000,,60,,50,
1066,15,25,5,10,15,20,3600,4000,50,70,30,
1067,15,,5,,18,,24000,,70,,20,
1068,20,,5,,15,,3000,,60,,50,
1069,20,,5,,18,,6000,,60,,15,
1070,25,,5,,20,,6000,,70,,20,
1071,18,,5,,15,,3600,,60,,20,
1072,18,,5,,15,,6000,,60,,20,
1073,18,,5,,15,,6000,,50,,20,
1074,18,,5,,15,,6000,,60,,20,
1075,18,,5,,15,,3600,,50,,20,
1076,20,,5,,18,,3600,,60,,20,
1077,20,,5,,15,,18000,,60,,20,
1078,20,,5,,18,,3000,,70,,20,
1079,10,,5,,12,,30000,,70,,20,
1080,25,,5,,20,,6000,,60,,50,
1081,20,,5,,18,,6000,,60,,20,
1082,15,,5,,10,,5000s,,70,,20,
1083,10,25,2,5,12,20,4,6,50,70,20,
1084,20,,5,,15,,6000,,50,,10,
1085,18,,5,,15,,18000,,60,,20,
1086,20,,5,,15,,6000,,60,,10,
1087,18,,5,,20,,6h,,50,,20,
1088,20,,5,,18,,18000,,70,,10,
1089,20,,5,,15,,24000,,50,,20,
1090,26,,5,,25,,30000,,60,,50,
1091,25,,5,,20,,8h,,60,,50,
1092,20,,5,,18,,30000,,60,,20,
1093,20,,5,,18,,6000,,50,,20,
1094,20,,5,,15,,600,,60,,20,
1095,25,,5,,20,,600,,70,,20,
1096,20,,3,,18,,6000,,60,,10,
1097,20,,5,,15,,3600,,70,,20,
1098,18,,5,,15,,6000,,70,,20,
1099,15,,5,,10,,3600,,70,,10,
1100,20,,5,,18,,300,,60,,30,
1101,15,25,2,5,10,20,6,8,40,60,10,
1102,15,25,10 , 20,10 , 15,3000 , 3500,40 , 60,50,
1103,20,,5,,18,,12000,,60,,50,
1104,12,,2,,10,,25000,,70,,30,
1105,15,,5,,12,,3600,,60,,20,
1106,10,,3,,12,,5000,,70,,20,
1107,18,,5,,20,,7200,,60,,20,
1108,25,,5,,20,,600,,60,,20,
1109,20,,10,,18,,600,,60,,20,
1110,20,,5,,18,,3600,,60,,20,
1111,12,,3,,10,,18000,,70,,15,
1112,20,,5,,18,,30000,,50,,20,
1113,15,,5,,18,,5000,,60,,20,
1114,20,,5,,18,,6000,,60,,20,
1115,15,25,5,10,10,15,2000,2200,60,70,20,30
1116,18,,2.5,,15,,24000,,70,,10,
1117,25,,5,,20,,6000,,60,,20,
1118,15,25,5,10,10,15,2400,2800,60,80,20,
1119,20,,3,,18,,18000,,70,,20,
1120,22,,5,,18,,3600,,60,,20,
1121,20,,5,,18,,6h,,50,,20,
1122,23,,5,,18,,6000,,70,,20,
1123,20,,5,,18,,300s,,60,,50,
1124,15,25,5,10,10,20,18000,21000,40,60,20,30
1125,20,,5,,15,,6000,,50,,20,
1126,20,,5,,18,,3600,,60,,20,
1127,25,,10,,20,,3600,,70,,50,
1128,15,,5,,12,,18000,,60,,50,
1129,25,,5,,20,,6000,,70,,50,
1130,20,,5,,18,,600,,50,,20,
1131,24,,5,,20,,600,,65,,15,
1132,20,,10,,18,,3600s,,60,,20,
1133,18,,5,,15,,18000,,60,,20,
1134,20,,10,,15,,3600,,70,,20,
1135,25,,5,,20,,6000,,70,,20,
1136,25,,5,,20,,6000,,60,,50,
1137,20,,5,,18,,18000,,60,,30,
1138,15,,5,,12,,3600,,70,,10,
1139,15,,5,,10,,24000,,60,,20,
1140,25,,5,,20,,18000,,60,,20,
1141,20,,5,,18,,3600,,60,,20,
1142,10,20,2,5,8,15,18000,22000,40,60,10,
1143,20,,5,,18,,3000,,60,,10,
1144,22,,5,,18,,30000,,60,,20,
1145,20,,5,,18,,6000,,60,,10,
1146,15,,5,,12,,3600s,,60,,20,
1147,18,,5,,15,,6000,,60,,20,
1148,10,,5,,15,,18000,,60,,30,
1149,15,,5,,10,,5000,,60,,20,
1150,15,,5,,18,,6000,,60,,20,
1151,20,,5,,18,,18000,,60,,15,
1152,20,,2,,22,,600,,60,,10,
1153,20,,5,,18,,3000,,60,,20,
1154,18,,5,,15,,6000,,60,,20,
1155,25,,10,,20,,6000,,60,,20,
1156,18,,5,,14,,3600,,70,,30,
1157,5,20,1,3,5,15,18000,22000,40,70,10,
1158,20,,5,,18,,8h,,60,,50,
1159,15,,5,,10,,300s,,60,,20,
1160,25,,5,,20,,6000,,60,,20,
1161,18,,5,,20,,3000,,60,,30,
1162,20,,5,,18,,6000,,70,,20,
1163,25,,5,,20,,7200,,60,,20,
1164,25,,5,,20,,6000,,60,,20,
1165,20,,5,,18,,600,,60,,50,
1166,20,,5,,18,,600,,50,,30,
1167,20,,5,,18,,3600,,70,,10,
1168,22,,5,,20,,600,,60,,10,
1169,20,,10,,18,,3600,,60,,50,
1170,20,,5,,15,,6000,,60,,20,
1171,20,,5,,18,,3000,,60,,10,
1172,25,,5,,20,,3000,,60,,20,
1173,22,,5,,18,,6000,,60,,50,
1174,20,,5,,15,,6000,,50,,20,
1175,18,,5,,15,,5000,,65,,20,
1176,10,20,3,5,10,15,6,8,50,70,20,
1177,25,,5,,20,,6000,,80,,20,
1178,15,,5,,10,,24000,,60,,20,
1179,20,,5,,18,,3600,,70,,20,
1180,12,,5,,10,,3600,,60,,20,
1181,20,,5,,18,,20000,,60,,20,
1182,20,,5,,18,,6000,,60,,20,
1183,18,,5,,15,,12000,,60,,20,
1184,20,,5,,15,,7200,,60,,20,
1185,20,,5,,15,,6000,,60,,10,
1186,18,,5,,20,,18000,,60,,20,
1187,20,,5,,15,,3600,,70,,30,
1188,20,,2,,15,,3000,,60,,10,
1189,15,,10,,18,,6000,,50,,30,
1190,15,,5,,20,,6000,,60,,10,
1191,15,,3,,12,,18000,,70,,10,
1192,22,,5,,18,,3600,,70,,20,
1193,20,,5,,18,,8h,,70,,20,
1194,20,25,5,10,15,20,3000,3500,40,60,20,
1195,25,,5,,20,,120s,,60,,50,
1196,15,20,5,10,12,18,2400,2800,40,60,20,
1197,15,,5,,10,,3000,,70,,20,
1198,18,,5,,15,,3600,,70,,20,
1199,15,,2,,12,,3600,,70,,10,
1200,20,,5,,15,,18000,,60,,20,
1201,20,,5,,15,,3600,,60,,50,
1202,20,,5,,18,,60000,,70,,50,
1203,15,,5,,12,,3600,,60,,20,
1204,15,,3,,12,,3600,,70,,20,
1205,18,,5,,15,,24000,,60,,20,
1206,20,,5,,18,,3600,,60,,20,
1207,20,,5,,18,,18000,,70,,20,
1208,25,,5,,20,,6000,,70,,20,
1209,20,,5,,15,,18000,,60,,20,
1210,18,,2,,20,,24000,,60,,20,
1211,20,,5,,15,,3600,,70,,10,
1212,15,,5,,10,,18000,,70,,20,
1213,15,25,2,3,10,20,6000,8000,50,70,50,
1214,10,25,2,5,10,20,18000,22000,40,70,10,
1215,25,,5,,20,,600,,60,,10,
1216,20,,5,,18,,6000,,60,,10,
1217,20,,5,,18,,8h,,60,,10,
1218,20,,5,,18,,600,,60,,20,
1219,15,,5,,10,,32000,,60,,20,
1220,10,,3,,12,,24000,,70,,20,
1221,15,,5,,10,,6000,,50,,20,
1222,15,,5,,18,,18000,,60,,20,
1223,23,,5,,18,,24000,,60,,20,
1224,15,,5,,12,,3600,,60,,20,
1225,15.6,,2.5,,18.2,,24000,,65,,20,
1226,15,,5,,12,,18000,,60,,10,
1227,20,,5,,15,,3600,,70,,10,
1228,20,,5,,18,,6000,,70,,30,
1229,12,,4,,10,,3600,,70,,20,
1230,17.5,,4.5,,15.8,,43200,,65,,50,
1231,15,,5,,12,,24000,,70,,20,
1232,20,,5,,18,,3600,,60,,20,
1233,15,,5,,18,,3600,,60,,20,
1234,20,,5,,18,,3600,,60,,30,
1235,18,,5,,15,,24000,,60,,20,
1236,15,,2,,12,,18000,,70,,10,
1237,18,,3,,15,,3600,,60,,20,
1238,25,,5,,18,,6000,,70,,20,
1239,18,,5,,15,,3600,,60,,20,
1240,20,,5,,18,,6000,,60,,20,
1241,20,,5,,18,,600,,60,,20,
1242,18,,5,,15,,3600,,70,,20,
1243,20,,5,,15,,3600,,60,,20,
1244,18,,2,,15,,600,,70,,10,
1245,18.5,,3.2,,15.2,,3600,,65,,15,
1246,20,,4,,18,,24000,,60,,30,
1247,20,,5,,18,,6000,,60,,20,
1248,25,,5,,20,,10s,,50,,50,
1249,18,,5,,15,,3600,,70,,20,
1250,18,,2,,15,,3600,,60,,10,
1251,15,,5,,12,,600,,70,,15,
1252,10,15,2,3,8,12,6,8h,50,60,50,100
1253,20,,5,,15,,30000,,60,,20,
1254,15,,5,,12,,3600,,70,,20,
1255,20,,5,,18,,6000,,70,,20,
1256,25,,5,,20,,8h,,60,,10,
1257,18,,5,,15,,3600,,60,,20,
1258,18,,5,,15,,24000,,60,,15,
1259,15,,3,,12,,6000,,50,,10,
1260,20,,5,,18,,600,,70,,20,
