Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Flowering Plant,Shirazi,25,5,20,0.3,4,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,shirazi
Flowering Plant,Shirley,20,5,18,0.4,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Sunny"",""Mediterranean"",""Coastal""]","[""Spring"",""Summer"",""Fall""]",30,35,20,24,"[""NPK"",""Compost"",""Organic Fertilizer""]",4,24,12,0.5,shirley
Flowering Plant,Shiva,25.6,12.3,22.1,0.35,4.7,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,24,"[""NPK"",""Organic compost""]",4,24,36,1,shiva
Herb,Siam Queen Thai,25,10,22,0.4,5,3600,70,"[""Loamy"",""Sandy""]","[""Thailand"",""Vietnam"",""Indonesia""]","[""Year-round""]",30,35,50,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,24,12,0.5,siam queen thai
Perennial,Siberia,-5,5,2,0.3,3,5000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""Northern Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""NPK"",""Compost""]",4,24,36,2,siberia
Vegetable,Sibirskiy Skorospelyi,18,2,15,0.4,3,300,60,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""Russia"",""Canada""]","[""Early summer"",""Late summer""]",30,35,15,48,"[""Nitrogen-based"",""Potassium-based""]",4,12,12,1,"sibirskiy
skorospelyi"
Flowering Plant,Sienne,20,5,18,0.3,4,3600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Southern Europe"",""Northern Africa""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,sienne
Flowering Plant,Sikkim Seed,20 °C,10 mm,15 °C,0.3 m³/m³,5 mm/day,18000 seconds,70 %,"[""Loam"",""Silt"",""Sand""]","[""Sikkim"",""Darjeeling"",""Assam""]","[""Spring"",""Summer""]",30 km/h,35 °C,50 mm,48 hours,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks,24 in,36 in,2 in,sikkim
Leafy Plant,Silk Leaf,25,5,20,0.3,3,600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,40,24,"[""Nitrogen-based fertilizer"",""Organic compost""]",4,18,12,1,silk leaf
Vegetable,Silver Slicer,22,5,18,0.4,3,3600,60,"[""Sandy loam"",""Loamy sand""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,24,1,silver slicer
Ornamental Plant,Skyreacher,18-25,1-5,15-20,0.3-0.5,3-5,18000-22000,40-60,"[""Sandy loam"",""Loam""]","[""Tropical Regions"",""Subtropical Regions""]","[""Start of Summer"",""Summer"",""Autumn""]",20-30,35-40,50-100,48-72,"[""NPK 10-10-10"",""Organic Compost""]",4-6,60-72,12-18,0.5-1,skyreacher
Vegetable,Slim Jim,25,5,20,0.3,3,6000,60,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",2,24,12,1,slim jim
Vegetable,Slovenian Black,20,5,18,0.3,3,3600,60,"[""Loam"",""Clay""]","[""Slovenia"",""Balkan region""]","[""Spring"",""Summer""]",30,35,30,48,"[""Organic compost"",""Fish emulsion""]",4,24,12,1,slovenian black
Flowering plant,Small Sugar,25,5,20,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizers"",""Organic compost""]",4,24,12,1,"small
sugar"
Flowering Plant,Snow White,20 °C,5 mm,15 °C,0.3 m³/m³,4 mm/day,600 seconds,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",40 km/h,30 °C,20 mm,48 hours,"[""NPK 15-15-15"",""Organic compost""]",4 weeks,24 in,12 in,1 in,snow white
Perennial,Snowball peony,10-24,2-5,12-18,0.2-0.4,3-6,24000-28000,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Humid climates""]","[""Late spring"",""Early summer""]",30,30,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,24-36,36,1-2,snowball peony
Flowering plant,Sol Gold,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam""]","[""Sunny gardens"",""Balconies"",""Patios""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Liquid fertilizer""]",4,24,12,2,sol gold
Flowering plant,Solar Flare,25,10,20,0.4,5,6000,60,"[""loam"",""sandy loam"",""clay""]","[""sunny regions"",""temperate climates""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""compost""]",4,24,12,1,solar flare
Flowering Plant,Sonata White,20,10,15,0.3,5,6000,60,"[""Loam"",""Sandy""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",20,35,50,24,"[""NPK fertilizers"",""Organic compost""]",4,24,12,0.5,sonata white
Vegetable,Soo Yoh Long,25,5,20,0.3,2,6000,70,"[""Loam"",""Sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Rainy season""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",2,60,12,1,soo yoh long
Flowering Plant,Soraya,25,5,20,0.4,3,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Summer"",""Early autumn""]",20,35,10,24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,36,12,1,soraya
Annual,Sparkler Marigold,25,5,20,0.3,3,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,6,0.5,sparkler marigold
Fruit,Speckled Apple,25.5,5.2,21.7,0.35,4.8,24000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Bone Meal"",""Compost""]",4,120,36,2,speckled apple
Vegetable,Speckled Roman,25,5,20,0.3,4,8000,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,72,24,1,speckled roman
Flowering Plant,Star of Yelta,20 °C,5 mm,18 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",30 km/h,35 °C,100 mm,48 hours,"[""NPK fertilizer"",""Organic compost""]",4 weeks,24 in,12 in,1 in,star of yelta
Vegetable,Stocky Golden Roaster,25,5,20,0.3,3,3600,60,"[""Sandy loam"",""Loamy sand"",""Silty loam""]","[""California"",""Florida"",""Texas""]","[""Summer""]",30,40,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",2,12,12,1,stocky golden roaster
Vegetable,Stocky Red Roaster,20,5,18,0.4,3,600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Southwest United States"",""Mexico""]","[""Late spring"",""Summer"",""Early fall""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4,24,12,1,stocky red roaster
Fruit,Strawberry Crown,20,5,18,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""California"",""Florida"",""Oregon""]","[""Spring"",""Summer""]",40,35,50,24,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4,12,12,1,strawberry crown
Vegetable,Striato Pugliese,20,5,18,0.4,3,6000,70,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer""]",30,35,30,48,"[""NPK fertilizer""]",4,18,24,1,striato pugliese
Flowering Plant,Striped Cavern,25,10,20,0.3,5,3600,60,"[""Loam"",""Silt"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,striped cavern
Vegetable,Striped German,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Loamy sand""]","[""Mediterranean"",""Subtropical""]","[""Start of summer""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,60,36,1,striped german
Fruit,Submarine Blush Cherry,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""South America"",""California""]","[""Late Spring"",""Summer""]",40,35,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,0.5,submarine blush cherry
Sugar Beet,Sucrin de Tours,15,5,10,0.3,3,18000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""France"",""Germany"",""United States""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,16,2,sucrin de tours
Vegetable,Sucrine du Berry,20,5,18,0.3,4,3600,60,"[""Loamy soil"",""Sandy soil""]","[""France"",""Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Compost"",""Nitrogen-rich fertilizer""]",2,12,8,1,sucrine du berry
Fruit,Sugar Baby,25,5,22,0.5,3,3600,60,"[""Loamy"",""Sandy""]","[""Subtropical"",""Tropical""]","[""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,36,1,sugar baby
Fruit Tree,Summer Cider Apricot,25,5,20,0.4,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Southwest USA"",""Central Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,120,36,1,summer cider apricot
Annual Flower,Sunbow Mix,20,5,18,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Full Sun"",""Well-drained soil""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,sunbow mix
Perennial,Sundrops,20,5,18,0.3,3,6000,50,"[""Sandy"",""Loamy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Fall""]",40,35,10,24,"[""NPK"",""Organic compost""]",4,24,12,1,sundrops
Flowering Plant,Super Shepherd,25,10,20,0.4,5,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,1,super shepherd
Flowering Plant,Super Snow White,20-25,5-10,18-22,0.3-0.5,3-5,600-800,50-70,"[""Loam"",""Clay""]","[""Temperate regions"",""Mediterranean climate zones""]","[""Spring"",""Summer""]",20,30,20,48,"[""NPK fertilizer"",""Organic compost""]",4-6,12,12x12,1,super snow white
Vegetable,Superschmelz,20,5,18,0.3,3,300,60,"[""sandy loam"",""silt loam"",""clay loam""]","[""Temperate regions"",""Mild climates""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,10,24,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4,24,12,1,superschmelz
Flowering plants,Supreme Mix,20-25,5-10,18-22,0.3-0.5,3-5,3000,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,24-48,"[""NPK 10-10-10"",""Organic compost""]",4-6,12-24,12-16,0.5-1,supreme mix
Vegetable,Suptol,25,5,20,0.3,3,600,60,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy""]",30,40,20,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,30,12,2,suptol
Flowering plant,Sweet Casady,25,5,20,0.3,4,3600,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,10,48,"[""Nitrogen-based"",""Phosphorus-based""]",4,24,12,2,sweet casady
Flowering Plant,Sweet Chocolate,25,5,20,0.3,3,24000,60,"[""Loam"",""Silt"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Monsoon season""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,400,0.5,sweet chocolate
Annual,Sweet Dani,25,2.5,20,0.4,3,6000,70,"[""Loamy"",""Sandy""]","[""North America"",""Europe""]","[""Late Spring"",""Summer""]",20,35,10,48,"[""10-10-10"",""5-10-5""]",4,36,12,1,sweet dani
Vegetable,Sweet Dumpling,25,5,20,0.3,3,6000,60,"[""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Start of summer"",""Late spring""]",40,35,10,48,"[""NPK"",""Compost"",""Organic fertilizer""]",2,12,24,2,sweet dumpling
Flowering Plant,Sweet Granite,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate Regions"",""Mediterranean Climates""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,36,12,2,sweet granite
Flowering plant,Sweet Keeper,20 °C,5 mm,18 °C,0.3 m³/m³,3 mm/day,3600 seconds,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",30 km/h,35 °C,100 mm,48 hours,"[""NPK 10-10-10"",""Compost""]",4 weeks,24 in,12 in,1 in,sweet keeper
Vegetable,Sweet Marketmore,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK"",""Compost"",""Bone Meal""]",2,60,12,1,sweet marketmore
Perennial Flower,Sweet Siberian,20,5,15,0.3,3,600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,24,12,0.5,sweet siberian
Vegetable,Syrian Stuffing,25,5,20,0.3,3,60000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Syria"",""Lebanon"",""Jordan""]","[""Spring"",""Summer"",""Fall""]",30,40,20,24,"[""NPK 10-10-10"",""Organic compost""]",2,24,12,2,syrian stuffing
Vegetable,Tabasco Short Yellow,25,5,20,0.3,3,3600,70,"[""loamy"",""sandy"",""clay""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",30,35,50,24,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",2,24,12,1,tabasco short yellow
Vegetable,Table Queen,22,5,18,0.3,4,7200,60,"[""Sandy loam"",""Loamy sand""]","[""Sunny locations with well-drained soil""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,24,1,table queen
Flowering Plant,Tal,25,5,20,0.3,2,6000,60,"[""Loam"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,tal
Flowering Plant,Tale,25,10,20,0.5,5,3600,70,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,24,"[""Organic compost"",""Slow-release granular fertilizer""]",2,36,12,1,tale
Vegetable,Tall Green,25,10,20,0.4,5,3600,60,"[""loam"",""sandy loam"",""clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Fall""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,12,1,tall green
Vegetable,Tall Utah,25,5,20,0.3,4,6000,60,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]","[""North America"",""Europe"",""Asia""]","[""Start of summer""]",30,40,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2,36,12,0.5,tall utah
Flowering plant,Tampes,28,5,25,0.3,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Monsoon season""]",30,40,50,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,tampes
Fruit,Tangerine,20,5,18,0.3,3,6000,70,"[""Sandy loam"",""Loamy sand""]","[""Mediterranean region"",""California"",""Florida""]","[""Spring"",""Summer""]",30,40,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,180,100,1,tangerine
Flowering Plant,Tanja,25,5,20,0.3,3,6000,60,"[""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,tanja
Flowering Plant,Taxi Yellow,25,5,20,0.4,3,30000,60,"[""Loam"",""Clay"",""Silt""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,24,12,0.5,taxi yellow
Teaurenard,Teaurenard Seed,25,10,20,0.3,5,3600,60,"[""sandy loam"",""clay loam"",""loamy sand""]","[""Region A"",""Region B"",""Region C""]","[""Start of Summer"",""Monsoon"",""Autumn""]",40,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,teaurenard
Ornamental plant,Tequila Sunrise,25,5,20,0.3,3,3600,60,"[""Loam"",""Sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,30,48,"[""Liquid fertilizer"",""Slow-release granular fertilizer""]",4,24,12,0.5,tequila sunrise
Flowering Plant,Texas Indian,25,3,20,0.3,5,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Texas"",""Oklahoma"",""New Mexico""]","[""Late Spring"",""Summer"",""Early Fall""]",30,40,30,48,"[""All-Purpose fertilizer"",""Organic compost""]",4,24,12,1,texas indian
Ornamental Plant,Thai Five Star,25,5,22,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Thailand"",""Vietnam"",""Indonesia""]","[""Year-round"",""Start summer""]",20,35,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,36,12,0.5,thai five star
Fruit,Thai Lemon,25,10,28,0.3,5,6000,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Thailand"",""Vietnam"",""Indonesia""]","[""Year-round"",""Start of summer""]",40,35,100,48,"[""NPK 15-15-15"",""Organic compost""]",8,120,36,1,thai lemon
Vegetable,Thai Long Green,25,5,20,0.3,3,3000,70,"[""Loam"",""Silt"",""Clay""]","[""Thailand"",""Vietnam"",""Indonesia""]","[""Year-round"",""Start of summer""]",30,40,50,24,"[""NPK"",""Compost""]",2,60,12,1,thai long green
Vegetable,Thai Long Purple,25,5,20,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Thailand"",""Southeast Asia"",""Tropical regions""]","[""Start of summer"",""Rainy season"",""Wet season""]",30,35,50,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,36,24,1,thai long purple
Vegetable,Thai Round Green,26,10,28,0.35,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Thailand"",""Vietnam"",""Malaysia""]","[""Year-round"",""Starts in summer""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,12,1,thai round green
Vine,Thompson Seedless Green Grape,20,2,18,0.25,3,6000,60,"[""Loamy"",""Sandy Loam""]","[""Mediterranean"",""California"",""Australia""]","[""Late Spring"",""Summer""]",30,40,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,48,6,"thompson seedless green
grape"
Herb,Tia To,25,5,20,0.4,3,3000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Southeast Asia"",""Tropical regions""]","[""Year-round""]",40,35,50,Every 2 days,"[""Organic compost"",""Liquid fertilizer""]",Every 4 weeks,24,12,0.5,tia to
Vegetable,Tiffen Mennonite,18-25,5-10,15-20,0.2-0.4,2-5,24000-28000,40-70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",40,35,30,24-48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",2-4,24-36,12x12,1-2,tiffen mennonite
Flowering Plant,Tiger Mix,22,10,18,0.4,5,3600,60,"[""Loamy"",""Sandy""]","[""Garden"",""Balcony""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,tiger mix
Tomato,Tiger Tom,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Loamy soil""]","[""Sunny areas"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,60,24,0.5,tiger tom
Vegetable,Tigerella,25,10,20,0.4,5,6000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,60,24,0.5,tigerella
Flowering Plant,Tiges Rouges,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate Regions"",""Mediterranean Climate""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,tiges rouges
Herb,Tive,25,10,20,0.3,5,600,50,"[""Loam"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Monsoon""]",20,40,50,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,tive
Flowering Plant,Tives,25,10,20,0.3,5,5000,60,"[""Loam"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,40,50,48,"[""NPK"",""Organic compost""]",4,24,12,2,tives
Flowering Plant,Toiles Cherokee Strain,20 °C,5 mm,22 °C,0.25 m³/m³,3 mm/day,600 seconds,50%,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",35 km/h,35 °C,30 mm,48 hours,"[""Organic compost"",""Liquid seaweed fertilizer""]",4 weeks,24 in,12 in,0.5 in,"toiles cherokee
strain"
Tomato,Tommy Toe,22,5,18,0.4,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""United States"",""Australia"",""Italy""]","[""Spring"",""Summer"",""Autumn""]",35,35,10,24,"[""NPK"",""Compost""]",4,60,24,0.5,tommy toe
Fruit,Tondino di Manduria,25 °C,5 mm,20 °C,0.3 m³/m³,4 mm/day,8 hours,60%,"[""Loamy"",""Sandy""]","[""Manduria"",""Salento"",""Puglia""]","[""Summer""]",40 km/h,35 °C,20 mm,48 hours,"[""NPK 10-10-10"",""Organic compost""]",4 weeks,24 in,36 in,2 in,tondino di manduria
Flowering plant,Tonnelet,25,5,20,0.3,3,5000,70,"[""Loam"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6,24,12,4,tonnelet
Vegetable,Topepo Rosso,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""California"",""Italy""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK"",""Compost""]",4,24,12,2,topepo rosso
Perennial,Torch,25,5,20,0.3,4,18000,60,"[""Loam"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,60,36,2,torch
Flowering Plant,Transformer,25,5,20,0.4,4,3600,60,"[""Loam"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,40,10,48,"[""NPK"",""Compost""]",4,36,15,1,transformer
Perennial,Trero,25,5,20,0.3,4,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy season""]",30,35,50,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,60,24,1,trero
Flowering Plant,Tricolore,25,5,22,0.4,3,6000,60,"[""Loam"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,0.5,tricolore
Flowering Plant,Tuffy,25,5,20,0.3,3,18000,60,"[""Loam"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,2,tuffy
Herb,Tulsi Kali,25,5,20,0.4,3,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""India"",""Thailand"",""Indonesia""]","[""Summer"",""Monsoon""]",30,40,50,48,"[""NPK 20-20-20"",""Organic compost""]",4,24,12,0.5,tulsi kali
Herb,Tulsi Rama,25,5,28,0.3,3,3600,60,"[""Loamy"",""Sandy"",""Clayey""]","[""India"",""South Asia"",""Southeast Asia""]","[""Summer"",""Monsoon""]",30,40,30,24,"[""Organic compost"",""Neem cake"",""Fish emulsion""]",4,24,12,0.5,tulsi rama
Herb,Tulsi Vana,25,5,20,0.4,3,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""India"",""Thailand"",""Australia""]","[""Summer"",""Monsoon""]",30,40,100,48,"[""Organic compost"",""Neem cake""]",4,24,12,0.5,tulsi vana
Vegetable,Turban Turc,25,5,20,0.3,3,30000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer"",""Autumn""]",30,40,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,2,turban turc
Annual Flower,Uf Blanc,25,5,20,0.3,4,6000,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean climate regions"",""Temperate climate regions""]","[""Spring"",""Summer""]",40,35,10,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,1,uf blanc
Herbaceous plant,uf des vertus,25,5,20,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay""]","[""Tropical regions"",""Mediterranean climate zones""]","[""Year-round"",""Start of summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,0.5,uf des vertus
