Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Perennial,Sibirisk pion,15,5,10,0.4,3,6000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,20,48,"[""NPK 10-10-10"",""Compost""]",4,36,36,2,sibirisk pion
Shrub,Sibirisk ärtbuske,15,5,18,0.3,2,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Organic compost""]",4,60,36,2,sibirisk ärtbuske
Ornamental Plant,Silverbuske,23,5,18,0.3,4,24000,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,silverbuske
Perennial Flower,Silvrig Höstanemon,15,5,12,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Summer"",""Autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,silvrig höstanemon
Perennial,Skelört,15.6,2.5,18.2,0.25,3.7,24000,65,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Early Spring"",""Late Spring"",""Early Summer""]",40,35,20,72,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,12,12,0.2,skelört
Flowering Plant,Skogsförgätmigej,15,5,12,0.5,3,18000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""Scandinavia"",""Boreal forests""]","[""Late Spring"",""Summer""]",40,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,10,12,0.5,skogsförgätmigej
Flowering plant,Skogsklocka,20,5,15,0.4,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer""]",30,35,10,48,"[""Nitrogen-based"",""Phosphorus-based""]",4,24,12,1,skogsklocka
Flowering Plant,Skogslyst,20,5,18,0.3,2,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,30,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,1,skogslyst
Perennial,Skogslök,12,4,10,0.2,2,3600,70,"[""Loamy soil"",""Sandy soil""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",50,30,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,16,12,1,skogslök
Perennial Herb,Skogsnäva,17.5,4.5,15.8,0.25,2.3,43200,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,32,50,48,"[""Organic compost"",""Liquid seaweed fertilizer"",""Slow-release granular fertilizer""]",8,12,12,0.4,skogsnäva
Perennial,Skogspipa,15,5,12,0.3,3,24000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate forests"",""Mountainous regions""]","[""Spring""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.5,skogspipa
Flowering Plant,Skogsvial,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy Loam""]","[""Temperate regions"",""Woodlands""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Slow-release fertilizer""]",4,36,24,0.5,skogsvial
Flowering Plant,Skogsvicker,15,5,18,0.3,6,3600,60,"[""Loamy"",""Sandy""]","[""Northern Europe"",""Scandinavia""]","[""Late Spring"",""Summer""]",30,30,20,48,"[""NPK fertilizer"",""Organic compost""]",4,20,12,1,skogsvicker
Flowering plant,Skomakariris,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,30,24,"[""Organic compost"",""NPK fertilizers""]",4,36,12,0.5,skomakariris
Perennial,Skuggviolruta,18,5,15,0.4,3,24000,60,"[""Loamy"",""Sandy""]","[""Shaded Gardens"",""Woodland Areas""]","[""Spring"",""Early Summer""]",30,28,20,48,"[""Organic Compost"",""Slow Release Granular Fertilizer""]",8,15,12,0.2,skuggviolruta
Herb,Slätpersilja,15,2,12,0.3,4,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Scandinavia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,30,10,48,"[""Nitrogen-based"",""Potassium-based""]",4,24,12,0.2,slätpersilja
Perennial,Smultron,18,3,15,0.3,2,3600,60,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,6,12,0.2,smultron
Herbaceous perennial,Småborre,25,5,18,0.3,3,6000,70,"[""Sandy loam"",""Clay loam"",""Loamy sand""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",30,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,1,småborre
Perennial,Smällspirea,18,5,15,0.3,4,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",40,35,20,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,24,12,1,smällspirea
Flower,Smörblomma,20,5,18,0.4,3,6000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4,12,6,0.5,smörblomma
Flower,Smörbollar,20,5,18,0.3,4,600,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,6,0.5,smörbollar
Vegetable,Smörgåskrasse,18,5,15,0.3,4,3600,70,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Scandinavia"",""Northern Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,6,0.5,smörgåskrasse
Vegetable,Sockerrot,20,5,15,0.3,3,3600,60,"[""Sandy loam"",""Loam""]","[""Mediterranean regions"",""Temperate regions""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2,12,6,2,sockerrot
Leafy vegetable,Sockertopskål,18,2,15,0.25,5,600,70,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Fall""]",40,30,10,48,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4,12,12,0.5,sockertopskål
Legume,"Sockerärt 30, 38",18.5,3.2,15.2,0.25,4.8,3600,65,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Northern Europe"",""United States"",""Canada""]","[""Spring"",""Summer""]",40,35,15,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,"sockerärt 30, 38,"
Legume,Sojaböna,20,4,18,0.3,2,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""South America"",""Asia""]","[""Spring"",""Summer""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,48,12,1,sojaböna
Vegetable,Sommarpumpa,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""California"",""Southern Europe""]","[""Summer"",""Late spring""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,24,36,2,sommarpumpa
Flowering Plant,Sommarrudbeckia,25°C,5mm,20°C,0.3m³/m³,3mm/day,10 seconds,50%,"[""Loam"",""Sandy loam"",""Clay""]","[""Full sun"",""Well-drained soil""]","[""Late spring"",""Summer"",""Early fall""]",30km/h,35°C,50mm,Every 2 days,"[""NPK 10-10-10"",""Compost""]",Every 4 weeks,24in,12in,0.5in,sommarrudbeckia
Herb,Spansk Körvel,18,5,15,0.3,3,3600,70,"[""Loam"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",2,12,12,0.5,spansk körvel
Vegetable,Sparris,18,2,15,0.4,3,3600,60,"[""Sandy loam"",""Loamy sand""]","[""Mediterranean region"",""California"",""Southwest United States""]","[""Late spring"",""Summer"",""Early fall""]",30,35,10,72,"[""Nitrogen-based fertilizers"",""Compost"",""Bone meal""]",2,60,12,2,sparris
Leafy vegetable,Sparriskål,15,5,12,0.3,4,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""North America""]","[""Spring"",""Early summer""]",30,30,15,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",2,20,12,1,sparriskål
Cereal Crop,Spelt Wheat,10-15°C,2-3 mm,8-12°C,20-30 m³/m³,4-5 mm/day,6-8 hours,50-60%,"[""Loam"",""Silt"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",50 km/h,35-40°C,50-100 mm,Every 2-3 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6 weeks,40-60 in,12-18 in,2-4 in,speltvete
Leafy green vegetable,Spenat,20,5,15,0.3,2,30000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Fall""]",40,30,20,48,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4,12,12,0.5,spenat
Leafy vegetable,Spenatskräppa,15,5,12,0.3,4,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""North America""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Organic compost""]",2,15,12,0.5,spenatskräppa
Perennial,Spikklubba,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""All year round"",""Start of summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,36,12,2,spikklubba
Flowering Plant,Spjutkakalia,25°C,5mm,20°C,0.4 m³/m³,3mm/day,8 hours,60%,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30 km/h,35°C,10mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",4 weeks,24 inches,12 inches,1 inch,spjutkakalia
Perennial,Spånandslin,18,5,15,0.3,2,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,spånandslin
Perennial Flower,Stjärnflocka,18,5,15,0.3,4,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",25,30,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,24,12,0.5,stjärnflocka
Bulbous perennial,Stjärnlök,15,3,12,0.25,2,6000,50,"[""Well-drained soil"",""Loamy soil""]","[""Northern Europe"",""North America""]","[""Spring""]",40,30,10,48,"[""Organic compost"",""Slow-release fertilizer""]",4,12,6,2,stjärnlök
Flowering Plant,Stjärnvinda,20,5,18,0.3,3,600,70,"[""Loam"",""Sandy loam"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,0.5,stjärnvinda
Perennial Flowering Plant,Stockros,15,5,18,0.3,3,6000,70,"[""Loam"",""Sandy Loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,72,36,0.25,stockros
Perennial,Storblommig fingerört,15,5,10,0.3,3,12000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,storblommig fingerört
Perennial,Campanula persicifolia,20,5,15,0.3,4,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Start of summer"",""Spring"",""Early Fall""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,30,12,0.2,stor blåklocka
Perennial,Stor Gullstav,25,5,18,0.3,3,600,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Northern Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,stor gullstav
Perennial,Stor Hässleklocka,12,4,10,0.25,2,18000,60,"[""Loam"",""Clay""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,18,0.5,stor hässleklocka
Perennial herb,Stor kardborre,10-25,2-5,10-20,0.3-0.5,3-5,2000-2500,40-60,"[""Well-drained soil"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",20-30,30-35,10-20,48-72,"[""Organic compost"",""All-purpose liquid fertilizer""]",4-6,36-48,12-18,0.25-0.5,stor kardborre
Herb,Stor Kustruta,18,5,15,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""NPK"",""Compost"",""Organic fertilizer""]",4,24,12,0.5,stor kustruta
Perennial,Stormhatt,15,5,12,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,20,72,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,60,24,1,stormhatt
Perennial,Stor Nunneört,10 - 20,2 - 4,8 - 15,0.2 - 0.4,2 - 4,4 - 6,60 - 80,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,50,24,"[""Compost"",""Organic Fertilizer""]",4 - 6,12,12,0.5,stor nunneört
Flowering Plant,Storrams,25,5,20,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",20,35,15,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,storrams
Flowering plant,Stor rödmalva,20,5,15,0.3,3,3000,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Northern Europe"",""North America""]","[""Summer"",""Autumn""]",30,35,20,24,"[""Organic compost"",""NPK fertilizer""]",4,36,24,0.5,stor rödmalva
Perennial,Lilium martagon,18,5,15,0.25,3,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,16,2,stor sandlilja
Climbing Vine,Stor Styvklematis,20,5,18,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,30,48,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4,120,24,1,stor styvklematis
Flower,Stor Tagetes,20,5,18,0.4,3,3000,60,"[""Loam"",""Sandy""]","[""Temperate"",""Subtropical""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,stor tagetes
Flowering Plant,Stor Vaxblomma,18.5,6.7,20.2,0.35,3.2,24000,65,"[""Loam"",""Sandy Loam""]","[""Northern Hemisphere"",""Temperate Regions""]","[""Spring"",""Summer""]",35,30,20,48,"[""NPK Fertilizer"",""Organic Compost""]",4,36,24,0.5,stor vaxblomma
Flowering Plant,Strandiris,25,10,20,0.3,5,30000,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",30,40,50,48,"[""NPK"",""Compost""]",4,36,24,2,strandiris
Leafy vegetable,Strandkål,12,5,10,0.4,2,20000,70,"[""Sandy loam"",""Loamy sand"",""Silty loam""]","[""Coastal regions"",""Northern Europe""]","[""Spring"",""Summer"",""Autumn""]",30,25,15,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,12,12,1,strandkål
Perennial Herb,Strandloka,15-25,5-10,15-20,0.2-0.4,3-5,6-8,50-70,"[""Sandy Loam"",""Silt Loam"",""Clay Loam""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4-6,24,12,0.5,strandloka
Flowering plant,Strandlysing,25,5,20,0.3,3,3600,70,"[""loam"",""sandy loam""]","[""tropical regions"",""subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer""]",4,24,12,2,strandlysing
Flowering Perennial,Strandveronika,22 °C,5 mm,18 °C,0.3 m³/m³,4 mm/day,10 seconds,70%,"[""Loam"",""Sandy Loam"",""Clay""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Fall""]",30 km/h,35 °C,20 mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer"",""Liquid fertilizer""]",4 weeks,18 in,12 in,0.5 in,strandveronika
Flowering plant,Strålöga,18-25,5-10,15-20,0.2-0.4,2-4,2400-2800,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,20,48,"[""All-purpose fertilizer"",""Organic compost""]",4-6,24,12,0.5,strålöga
Perennial,Styvklematis,15,5,18,0.25,3,30000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,120,24,0.5,styvklematis
Flower,Styvmorsviol,18,5,15,0.4,3,6000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,8,0.2,styvmorsviol
Perennial,Stäppsalvia,20,5,18,0.3,3,600,50,"[""Sandy loam"",""Loam""]","[""Mediterranean regions"",""Central Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,stäppsalvia
Flowering plant,Svartsenap,20,5,18,0.4,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Coastal areas""]","[""Spring"",""Summer""]",30,35,15,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,24,12,0.5,svartsenap
Flowering Plant,Svavelpion,20-25,5-10,15-20,0.3-0.5,4-6,8-10,40-60,"[""Loam"",""Sandy"",""Clay""]","[""Sunny"",""Well-drained soil"",""Moderate rainfall""]","[""Spring"",""Summer""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",4-6,24,12,1,svavelpion
Vegetable,Stångböna,20,5,18,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Central Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4,72,24,2,stångböna
Flowering plant,Svartnysört,20,5,15,0.3,3,5000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America""]","[""Late spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,svartnysört
Flowering Plant,Svartöga,20 °C,5 mm,18 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean regions"",""Temperate regions""]","[""Spring"",""Summer""]",40 km/h,35 °C,20 mm,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24 in,12 in,2 in,svartöga
Perennial,Svärdslilja,20,5,18,0.3,3,12000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,36,12,1,svärdslilja
Perennial Climber,Sydgullregn,15,5,18,0.3,3,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring to Early Summer""]",40,35,10,48,"[""Organic compost"",""Slow-release fertilizer""]",8,120,36,2,sydgullregn
Perennial Flower,Såpnejlika,18,2,15,0.35,3.5,2400,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,30,10,48,"[""NPK 10-10-10"",""Organic compost""]",4,20,12,0.5,såpnejlika
Vegetable,Sötpaprika,25,5,20,0.3,2,3000,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,sötpaprika
Perennial Flower,Tjärblomster,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,48,"[""NPK 12-12-12"",""Organic compost""]",4,24,12,0.5,tjärblomster
Vegetable,Tomat 31,25,5,18,0.3,4,3000,60,"[""loam"",""sandy loam"",""clay loam""]","[""Mediterranean region"",""Central America"",""Southern United States""]","[""Spring"",""Summer"",""Autumn""]",30,40,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,1,"tomat 31,"
Flower,Tovsippa,15-25,5-10,15-20,0.3-0.5,4-6,18000-20000,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Garden beds"",""Borders"",""Rock gardens""]","[""Spring"",""Summer""]",30,30,20,24-48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4-6,8,12,0.5,tovsippa
Flowering plant,Trollduva,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Start of spring"",""Late summer""]",30,35,20,48,"[""NPK"",""Organic compost""]",4,24,12,2,trollduva
Perennial Flower,Trädsgårdsiris,18,10,15,0.3,4,6000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""All-purpose fertilizer"",""Organic compost""]",6,36,12,2,trädsgårdsiris
Perennial,Trädgårdsjättevallmo,18,5,15,0.4,3,5000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,72,12,0.5,trädgårdsjättevallmo
Annual Flower,Trädgårdsmålla,20,5,15,0.3,3,9000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.2,trädgårdsmålla
Perennial,Trädgårdsnattviol,18,5,15,0.3,4,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Boreal regions""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,0.2,trädgårdsnattviol
Perennial,Trädgårdssporre,15,5,10,0.4,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,24,"[""Organic compost"",""Slow-release fertilizer""]",4,36,12,0.5,trädgårdssporre
Flowering Perennial,Trädgårdsstormhatt,20,5,15,0.4,3,6000,60,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",40,30,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,36,12,0.2,trädgårdsstormhatt
Fruit plant,Trädgårdsäppel,15,5,12,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""NPK fertilizer""]",6,120,48,2,trädgårdsäppel
Flowering Plant,Tuviris,25,5,20,0.3,3,3000,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Organic compost""]",4,24,12,1,tuviris
Flowering Plant,Törnrosas Kjörtel,25,5,18,0.4,3,3000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,24,2,törnrosas kjörtel
Perennial,Ullig Kardborre,15,5,12,0.4,3,18000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,36,24,0.5,ullig kardborre
Flowering plant,Underblomma,24,5,20,0.4,3,6000,70,"[""loam"",""sandy loam""]","[""temperate regions"",""subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""organic compost"",""slow-release granular fertilizer""]",4,24,144,1,underblomma
Herb,Vallört,18,2,15,0.3,3,18000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climate zones""]","[""Late spring"",""Summer""]",30,35,20,48,"[""All-purpose liquid fertilizer"",""Organic compost""]",4,24,12,0.5,vallört
Flowering Plant,Vanlig Vitsenap,18 °C,5 mm,15 °C,0.2 m³/m³,3 mm/day,8 hours,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",20 km/h,30 °C,20 mm,48 hours,"[""NPK fertilizer"",""Organic compost""]",4 weeks,24 in,12 in,1 in,vanlig vitsenap
Fruit,Vattenmelon,25,5,20,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Mediterranean regions""]","[""Late spring"",""Summer""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer"",""Potassium-rich fertilizer""]",2,12,36,1,vattenmelon
Legume,Vaxböna,20,5,18,0.3,3,600,60,"[""Loamy"",""Sandy""]","[""Scandinavia"",""Northern Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,48,12,1,vaxböna
